,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,16.27,0.59,0.5,0.68,0.54,0.49,1.0,0.83,1.87,0.66,0.95,0.89,0.9,0.79,0.82,0.6
f_1,1.17,17.15,0.44,0.5,0.4,0.5,0.85,0.81,0.94,0.97,0.96,0.35,0.76,0.75,0.73,0.78
d_1,0.46,0.59,20.15,0.37,0.56,0.49,0.86,0.95,0.39,2.12,1.11,1.03,1.09,1.04,1.01,0.94
c_1,0.49,0.49,0.58,18.56,1.09,0.52,0.83,0.82,0.77,0.34,0.53,0.81,1.02,0.95,1.05,0.86
b_1,0.43,0.53,0.57,0.56,20.63,1.13,0.61,0.65,0.89,0.98,0.43,1.03,1.1,0.99,0.78,1.06
a_1,0.49,0.57,0.48,0.62,0.59,32.07,0.96,0.99,0.83,0.6,1.04,0.96,0.99,0.92,0.48,0.9
h_1,0.54,0.92,0.77,0.67,0.62,0.54,5.55,1.48,0.84,1.07,1.34,1.59,0.65,1.8,1.21,1.39
g_1,0.59,0.59,1.27,0.71,0.49,0.55,1.19,6.93,0.71,1.17,0.99,2.48,1.2,0.66,1.3,1.24
d_0,0.66,0.77,0.25,1.76,0.69,0.62,1.06,1.14,3.08,0.74,1.3,1.38,1.21,1.09,1.21,1.3
c_0,0.74,0.6,0.91,0.42,0.4,0.75,1.41,1.33,1.24,3.76,3.42,1.59,1.15,1.63,1.48,1.13
b_0,0.58,0.73,0.86,0.87,0.39,0.57,1.44,1.16,1.17,0.96,4.25,1.1,1.38,1.52,3.19,1.25
f_0,0.48,0.35,0.88,0.78,0.64,0.74,0.99,1.34,1.22,1.42,1.22,4.0,1.4,1.82,1.57,3.45
h_0,0.67,1.34,0.67,0.71,0.62,0.67,0.67,1.58,1.17,1.08,1.18,1.03,0.71,1.83,1.34,1.04
g_0,0.55,0.67,1.59,0.71,0.7,0.66,1.15,0.6,0.93,1.01,1.22,1.9,1.23,0.71,0.87,1.07
a_0,0.64,0.72,0.69,0.83,0.61,0.48,1.22,1.03,1.19,1.52,1.49,1.14,1.62,1.32,5.11,1.05
e_0,0.25,0.67,0.77,0.9,0.75,0.74,1.55,1.11,1.25,1.31,1.3,1.42,1.25,1.49,1.3,5.56
