,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.89,0.93,0.79,0.62,0.74,0.78,0.97,0.63,1.61,0.98,1.21,1.07,0.96,1.14,1.09,0.96
f_1,0.73,1.8,1.31,0.8,0.67,0.71,0.96,1.06,0.89,0.9,0.92,0.76,0.92,0.89,0.64,0.97
e_1,0.66,0.83,1.9,1.01,0.82,0.73,0.98,1.66,0.91,0.93,0.92,0.9,1.03,1.03,0.78,0.99
c_1,0.87,0.75,0.69,1.96,1.36,0.74,0.91,0.87,0.67,0.87,0.69,0.94,0.96,0.91,1.02,0.89
b_1,0.83,0.82,0.69,0.85,2.12,1.47,0.98,0.98,0.8,0.89,0.76,0.97,0.97,0.75,1.05,0.99
a_1,0.91,0.91,0.84,0.87,0.65,2.76,1.0,0.82,0.86,0.97,1.03,0.91,1.09,0.68,0.92,0.98
h_1,0.91,1.14,0.87,0.83,0.79,0.83,1.71,0.83,0.97,1.19,1.02,1.1,0.81,0.87,1.02,1.24
d_0,0.66,0.79,0.77,1.48,1.04,0.9,1.03,1.39,0.73,0.98,0.99,0.97,1.03,1.05,1.0,1.07
c_0,0.97,0.94,0.85,0.76,0.63,0.7,1.1,1.0,1.5,1.14,1.85,1.17,1.11,1.54,1.1,1.11
g_1,1.31,0.78,0.71,0.83,0.85,0.71,0.94,0.78,1.04,2.08,1.14,1.6,1.06,0.87,1.21,0.85
b_0,1.06,0.96,0.79,0.89,0.69,0.61,1.15,0.96,1.11,1.17,1.77,1.09,1.27,2.03,1.19,1.11
f_0,1.11,0.77,0.73,0.93,0.97,0.76,1.0,0.82,1.2,1.15,1.15,1.8,1.15,1.08,2.4,1.13
h_0,1.0,1.06,0.78,0.85,0.83,0.78,0.81,0.95,1.01,1.45,1.09,1.09,0.95,1.13,1.11,1.38
a_0,0.93,0.95,0.92,0.99,0.89,0.47,1.18,0.97,1.08,1.26,1.25,1.07,1.2,2.12,1.08,1.16
e_0,0.95,0.93,0.76,0.89,0.98,0.81,0.95,0.96,1.08,1.09,1.07,1.21,1.21,1.15,2.1,1.39
g_0,1.34,0.75,0.7,0.79,0.9,0.84,0.95,0.72,1.14,0.89,1.03,1.46,0.99,1.07,1.26,0.88
