,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,2.4,1.07,0.88,1.49,1.15,1.03,2.3,2.36,3.75,2.11,2.56,3.02,3.44,2.02,2.94,3.36
d_1,1.13,2.46,1.28,0.91,1.12,1.09,2.28,2.1,1.48,3.72,2.99,2.54,3.14,2.65,2.91,2.55
f_1,1.87,1.06,2.49,1.13,0.89,0.94,1.92,1.91,2.49,2.29,2.41,1.07,2.19,1.77,2.3,3.07
c_1,0.92,1.2,1.11,2.62,2.01,1.05,2.07,2.11,2.09,1.08,1.97,2.31,3.19,2.07,2.33,2.57
b_1,0.99,1.1,1.32,0.86,2.78,2.05,2.28,2.31,2.51,2.66,1.63,2.45,3.3,2.66,1.57,3.19
a_1,1.1,1.23,1.35,1.3,0.82,3.22,2.34,2.17,2.03,2.58,2.81,2.4,3.02,2.83,1.63,3.16
h_1,1.17,1.27,1.61,1.2,1.3,1.16,4.1,3.05,2.46,2.65,2.39,2.59,2.77,3.17,2.84,4.54
g_1,1.11,1.68,1.16,1.25,1.17,1.24,2.01,4.12,2.62,2.55,2.75,3.88,2.87,3.07,2.51,2.88
d_0,1.1,1.06,1.15,2.05,1.22,1.42,2.49,2.33,3.82,2.21,2.11,2.64,3.43,3.04,2.4,4.02
c_0,1.37,1.3,1.41,1.01,1.02,1.18,2.48,2.58,2.56,3.99,4.38,2.83,3.68,3.08,3.36,3.57
b_0,1.15,1.3,1.41,1.37,0.74,1.11,2.75,2.25,3.1,2.52,4.3,2.94,3.85,2.66,5.25,3.74
f_0,1.04,1.49,1.12,1.37,1.29,1.18,2.48,2.17,3.13,2.67,2.57,4.31,4.02,4.98,2.61,3.72
h_0,1.01,1.33,1.83,1.2,1.16,1.31,1.57,3.3,2.61,2.63,2.9,2.61,2.31,2.73,2.55,3.87
e_0,0.76,1.45,1.43,1.41,1.32,1.19,2.4,2.82,3.09,2.63,3.0,2.47,4.02,4.98,2.95,3.43
a_0,1.12,1.25,1.36,1.52,1.52,0.63,2.63,2.37,3.28,2.23,2.53,3.15,4.15,2.87,5.17,3.3
g_0,1.05,1.81,1.15,1.4,1.11,1.07,2.43,1.92,2.57,2.49,2.54,3.71,3.81,3.33,2.87,2.45
