,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.94,0.43,0.39,0.39,0.66,0.2,0.3,0.25,0.22,0.11,0.25,0.18,0.23,0.18,0.15,0.19
f_1,0.45,0.94,0.46,0.64,0.32,0.21,0.26,0.26,0.24,0.23,0.13,0.23,0.2,0.1,0.18,0.18
d_1,0.38,0.46,0.95,0.38,0.39,0.26,0.32,0.24,0.19,0.42,0.25,0.29,0.23,0.21,0.19,0.19
e_1,0.5,0.39,0.38,0.94,0.41,0.3,0.26,0.26,0.46,0.25,0.25,0.24,0.26,0.14,0.19,0.24
b_1,0.36,0.49,0.41,0.43,0.94,0.55,0.35,0.24,0.29,0.25,0.24,0.13,0.23,0.18,0.17,0.19
a_1,0.68,0.57,0.47,0.42,0.34,0.94,0.31,0.34,0.33,0.3,0.27,0.27,0.26,0.27,0.14,0.27
h_1,0.65,0.87,0.66,0.63,0.51,0.47,0.74,0.46,0.4,0.43,0.34,0.37,0.27,0.25,0.3,0.4
g_1,0.63,0.64,0.99,0.61,0.62,0.35,0.47,0.75,0.41,0.41,0.57,0.35,0.32,0.33,0.29,0.26
d_0,1.25,0.71,0.49,0.59,0.66,0.44,0.44,0.4,0.65,0.32,0.45,0.36,0.35,0.3,0.3,0.34
c_0,0.66,0.8,0.71,0.66,0.53,0.48,0.51,0.45,0.48,0.65,0.44,0.73,0.42,0.37,0.36,0.42
f_0,0.84,0.61,0.87,0.65,0.68,0.52,0.52,0.38,0.41,0.46,0.64,0.46,0.4,0.55,0.39,0.35
b_0,0.84,0.93,0.74,0.74,0.48,0.39,0.51,0.49,0.5,0.38,0.37,0.63,0.48,0.37,0.56,0.4
h_0,0.78,1.05,0.86,0.75,0.68,0.5,0.42,0.69,0.54,0.48,0.44,0.41,0.34,0.34,0.35,0.5
e_0,0.91,1.19,0.88,0.44,0.84,0.49,0.66,0.49,0.44,0.39,0.37,0.45,0.5,0.64,0.37,0.39
a_0,0.95,0.87,0.99,0.73,0.68,0.4,0.59,0.48,0.5,0.42,0.33,0.31,0.46,0.31,0.6,0.43
g_0,0.93,0.78,1.17,0.71,0.78,0.45,0.49,0.39,0.52,0.5,0.58,0.44,0.43,0.35,0.34,0.34
