,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.05,1.47,1.62,1.49,1.52,1.17,0.48,0.56,0.42,0.5,0.45,0.48,0.28,0.41,0.37,0.36
d_1,1.71,1.04,1.65,1.51,1.35,1.29,0.55,0.41,0.49,0.54,0.44,0.43,0.32,0.41,0.41,0.23
e_1,1.15,1.66,1.04,1.74,1.7,1.37,0.59,0.68,0.52,0.62,0.49,0.57,0.39,0.42,0.49,0.37
c_1,1.61,1.82,1.36,1.05,1.91,1.36,0.57,0.6,0.51,0.34,0.42,0.45,0.42,0.41,0.43,0.37
b_1,1.85,2.05,1.79,1.19,1.05,1.78,0.75,0.65,0.69,0.53,0.7,0.55,0.44,0.5,0.48,0.46
a_1,2.82,2.49,2.69,2.29,1.43,1.06,0.96,0.93,0.87,0.81,0.9,0.74,0.62,0.85,0.63,0.53
h_1,5.11,4.73,4.47,4.68,4.38,3.3,1.24,1.86,1.45,1.45,1.33,1.32,1.38,1.37,1.21,1.1
g_1,5.07,5.15,4.56,5.3,4.74,3.99,1.54,1.24,1.44,1.46,1.42,1.53,0.89,1.24,1.26,1.17
c_0,5.87,3.9,5.3,7.03,4.97,3.92,2.0,1.81,1.31,1.94,1.6,1.44,1.16,1.37,1.27,1.04
d_0,4.63,6.43,3.6,5.93,5.09,4.52,2.05,2.1,1.55,1.33,1.6,1.59,1.25,1.36,1.4,1.32
b_0,6.07,4.95,5.46,7.28,6.28,4.26,2.03,2.02,1.17,1.7,1.32,1.46,1.28,1.81,1.37,1.11
f_0,6.84,5.99,5.12,6.22,5.51,4.45,2.13,1.56,1.8,1.81,1.72,1.33,1.43,1.58,1.82,0.9
h_0,7.58,7.0,6.71,6.56,6.46,5.55,2.74,2.75,1.96,2.04,1.99,1.76,1.72,1.83,1.7,1.5
a_0,7.37,6.37,7.11,7.38,7.44,6.56,2.38,2.54,1.84,2.09,1.39,1.82,1.72,1.38,1.81,1.55
e_0,9.08,7.06,7.91,7.6,6.86,5.63,2.75,2.31,2.34,2.29,2.2,1.31,1.9,1.89,1.4,1.31
g_0,8.75,9.83,7.67,7.98,6.96,6.43,2.51,2.96,2.5,2.4,2.44,2.6,1.65,2.57,2.46,1.82
