,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.63,0.78,0.84,1.01,0.64,0.45,0.55,0.61,0.36,0.36,0.34,0.34,0.36,,0.3
f_1,1.58,1.0,1.06,1.03,1.02,0.71,0.4,0.44,0.38,0.35,,0.44,0.27,0.29,0.24,0.27
c_1,1.28,0.94,1.0,1.07,1.09,0.69,0.57,0.48,0.34,,0.46,0.37,0.43,0.36,0.28,0.28
d_1,1.2,0.97,0.94,1.0,0.95,0.81,0.58,0.41,,0.44,0.56,0.4,0.4,0.32,0.37,0.24
b_1,0.99,0.98,0.92,1.05,1.0,0.97,0.61,0.49,0.46,0.47,0.48,,,0.38,0.28,0.41
a_1,1.56,1.41,1.44,1.23,1.03,1.0,0.79,,0.64,0.69,0.41,0.51,,0.49,,
h_1,2.21,2.47,1.74,1.73,1.64,1.26,1.0,1.12,1.01,0.93,0.57,0.66,0.65,,0.65,0.59
g_1,1.81,2.29,2.08,2.43,2.02,,0.89,1.0,1.04,0.98,1.05,0.74,0.85,0.68,0.74,
d_0,1.63,2.6,2.98,,2.19,1.57,0.99,0.96,1.0,0.96,0.71,0.96,0.79,0.77,0.75,0.8
c_0,2.77,2.87,,2.25,2.12,1.46,1.08,1.03,1.05,1.0,1.06,1.49,0.72,0.88,0.74,1.01
f_0,2.76,,2.19,1.79,2.1,2.46,1.74,0.95,1.41,0.94,1.0,0.97,0.96,1.14,1.05,0.61
b_0,2.91,2.25,2.71,2.52,,1.96,1.52,1.34,1.05,0.67,1.03,1.0,1.33,0.81,0.99,0.77
a_0,2.94,3.71,2.35,2.49,,,1.53,1.18,1.26,1.4,1.04,0.75,1.0,0.94,,1.02
h_0,2.81,3.5,2.74,3.12,2.62,2.03,,1.47,1.3,1.13,0.87,1.23,1.06,,0.78,1.02
e_0,,4.14,3.57,2.7,3.6,,1.54,1.35,1.34,1.36,0.95,1.01,,1.28,1.0,0.95
g_0,3.37,3.7,3.54,4.1,2.44,,1.69,,1.25,0.99,1.64,1.3,0.98,0.98,1.05,
