,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.66,1.47,1.21,1.3,1.12,1.01,0.48,0.47,0.71,0.4,0.59,0.45,0.41,0.32,0.43,0.43
e_1,0.86,0.66,1.09,1.62,1.52,1.23,0.62,0.61,0.61,0.51,0.55,0.49,0.44,0.42,0.61,0.39
d_1,1.35,1.66,0.64,1.28,1.18,1.24,0.58,0.7,0.37,0.58,0.46,0.44,0.38,0.34,0.44,0.26
c_1,1.37,1.1,1.7,0.64,1.6,1.23,0.6,0.3,0.64,0.68,0.43,0.46,0.46,0.35,0.43,0.38
b_1,1.65,1.28,1.7,0.87,0.62,1.51,0.67,0.55,0.63,0.6,0.58,0.62,0.49,0.46,0.46,0.51
a_1,2.04,1.6,1.54,1.68,1.0,0.57,0.9,0.78,0.74,0.63,0.61,0.98,1.49,0.51,0.5,0.49
h_1,2.24,1.91,1.75,2.04,1.95,1.59,0.57,0.7,0.92,0.63,0.67,0.63,0.6,0.74,0.61,0.56
d_0,2.37,1.35,2.65,2.75,2.36,1.79,1.08,0.61,1.03,0.81,0.77,0.85,0.74,0.66,0.74,0.75
g_1,2.11,2.14,2.61,2.04,2.21,1.89,0.75,0.88,0.54,0.71,0.77,0.86,0.65,0.55,0.81,0.77
c_0,2.5,2.2,1.37,3.22,2.41,1.86,1.05,1.01,1.13,0.61,0.76,0.99,0.84,0.69,0.77,0.68
f_0,3.34,2.09,2.31,2.32,2.05,1.98,1.19,0.96,0.85,0.75,0.58,0.92,0.73,0.69,1.02,0.41
b_0,2.45,2.2,2.06,3.16,3.55,1.64,1.09,0.84,0.98,0.49,0.74,0.57,1.04,0.73,0.79,0.67
a_0,3.33,2.48,2.78,2.84,3.23,2.48,1.21,1.06,1.11,0.73,0.81,0.52,0.58,0.83,0.85,0.68
h_0,2.66,2.53,2.74,2.75,2.41,2.27,1.29,0.98,1.27,0.88,0.9,0.91,0.84,1.08,0.85,0.82
e_0,3.56,3.41,2.41,2.52,2.53,2.71,1.3,0.86,1.13,0.91,0.57,0.95,0.86,0.75,0.56,0.64
g_0,2.84,2.82,2.97,2.83,2.44,2.8,1.02,0.91,1.39,0.93,1.23,1.05,0.91,0.67,0.92,0.97
