,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.13,4.84,4.43,5.36,5.45,4.29,1.07,1.37,0.93,1.01,1.06,2.08,0.62,1.03,0.8,1.28
d_1,5.85,1.12,5.63,5.6,5.22,4.5,1.51,0.98,1.01,3.64,0.87,0.99,0.71,1.2,0.54,0.91
e_1,3.14,5.87,1.13,5.9,6.32,4.65,1.69,2.01,1.3,1.22,1.19,1.27,0.76,1.06,0.98,1.99
c_1,5.54,7.6,5.31,1.13,5.5,7.32,1.74,1.87,2.59,0.66,1.07,1.23,0.86,1.17,0.78,1.23
b_1,7.13,6.51,7.42,3.44,1.13,7.42,1.98,2.02,1.72,1.48,4.17,1.34,1.18,1.58,1.08,1.44
a_1,9.56,8.46,9.56,9.05,4.53,1.14,2.64,2.84,1.79,1.84,2.74,1.9,1.18,5.01,1.39,1.42
h_1,17.73,14.71,17.21,18.05,16.35,15.93,1.76,4.62,3.44,3.95,3.55,3.1,4.02,3.37,2.26,3.27
g_1,30.44,20.76,20.35,24.6,23.05,19.87,5.02,1.86,3.98,3.64,3.75,3.77,2.63,4.12,4.61,4.2
c_0,22.27,11.82,22.04,49.21,28.4,27.08,6.86,6.64,2.34,6.29,4.56,5.28,3.1,4.95,2.89,4.58
d_0,23.57,50.54,13.11,26.3,26.78,27.08,8.44,9.5,5.27,2.49,4.81,4.92,3.8,4.95,3.53,6.09
b_0,32.33,21.01,26.82,43.59,66.95,24.9,7.84,6.45,2.78,5.16,2.38,4.97,3.98,5.8,4.28,4.97
f_0,52.94,23.25,24.71,30.21,29.91,36.1,8.06,5.22,5.27,5.54,5.29,2.36,4.14,4.12,2.64,4.9
h_0,32.91,34.52,28.6,42.37,39.61,30.94,16.88,8.24,6.8,7.02,5.88,7.08,9.72,5.71,5.35,6.3
a_0,45.1,33.85,41.19,46.94,50.21,60.17,10.84,9.12,7.1,9.29,3.6,7.72,5.16,2.54,5.06,7.06
g_0,50.04,31.13,41.19,43.59,42.61,40.87,8.78,18.0,8.27,8.27,7.67,7.28,4.1,7.13,9.33,6.54
e_0,57.08,38.32,91.05,38.14,36.05,54.15,12.91,10.21,7.34,7.02,8.53,4.17,5.81,7.13,5.35,2.54
