,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.4,0.42,0.46,0.5,0.37,0.1,0.1,0.15,0.09,0.09,0.13,0.05,0.1,0.08,0.07
d_1,0.51,0.16,0.49,0.45,0.39,0.4,0.13,0.14,0.08,0.1,0.09,0.09,0.07,0.09,0.09,0.04
e_1,0.26,0.48,0.16,0.52,0.48,0.45,0.13,0.11,0.15,0.09,0.1,0.13,0.07,0.09,0.16,0.08
c_1,0.46,0.62,0.34,0.15,0.5,0.5,0.11,0.05,0.12,0.13,0.08,0.09,0.06,0.08,0.09,0.06
b_1,0.5,0.45,0.5,0.27,0.13,0.36,0.17,0.11,0.14,0.13,0.16,0.09,0.07,0.1,0.1,0.07
a_1,0.64,0.46,0.49,0.43,0.23,0.1,0.14,0.1,0.16,0.09,0.11,0.09,0.08,0.13,0.09,0.06
h_1,0.39,0.38,0.4,0.47,0.4,0.33,0.06,0.09,0.11,0.08,0.08,0.07,0.08,0.07,0.07,0.06
d_0,0.39,0.62,0.23,0.44,0.48,0.41,0.13,0.06,0.13,0.08,0.08,0.08,0.06,0.07,0.08,0.06
g_1,0.43,0.35,0.41,0.43,0.42,0.37,0.08,0.1,0.05,0.09,0.08,0.08,0.04,0.09,0.07,0.09
c_0,0.45,0.23,0.41,0.68,0.44,0.37,0.13,0.13,0.12,0.05,0.09,0.07,0.06,0.08,0.08,0.06
b_0,0.39,0.35,0.35,0.49,0.79,0.36,0.11,0.07,0.1,0.04,0.05,0.07,0.06,0.08,0.08,0.06
f_0,0.61,0.38,0.38,0.43,0.38,0.37,0.1,0.08,0.08,0.08,0.08,0.04,0.06,0.07,0.08,0.03
h_0,0.39,0.37,0.38,0.4,0.39,0.36,0.15,0.08,0.12,0.08,0.07,0.08,0.07,0.06,0.06,0.06
a_0,0.45,0.35,0.37,0.38,0.61,0.55,0.12,0.09,0.1,0.07,0.04,0.07,0.06,0.04,0.06,0.05
e_0,0.65,0.34,0.43,0.42,0.43,0.34,0.11,0.08,0.09,0.07,0.06,0.04,0.05,0.08,0.03,0.04
g_0,0.48,0.39,0.39,0.37,0.38,0.42,0.09,0.08,0.12,0.07,0.08,0.07,0.04,0.07,0.07,0.08
