,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.55,0.93,0.81,0.9,0.82,0.52,0.43,0.43,0.31,0.36,0.44,0.36,0.36,0.57,0.39
f_1,0.85,0.41,0.76,0.78,0.82,0.68,0.31,0.38,0.48,0.36,0.4,0.42,0.22,0.37,0.29,0.33
c_1,0.65,0.85,0.39,1.08,0.97,0.68,0.39,0.23,0.45,0.42,0.29,0.37,0.32,0.33,0.32,0.29
d_1,0.87,0.82,0.77,0.39,0.88,0.8,0.42,0.71,0.31,0.42,0.36,0.37,0.3,0.35,0.39,0.22
b_1,0.87,0.9,0.49,0.78,0.36,1.14,0.49,0.39,0.5,0.51,0.59,0.37,0.41,0.37,0.4,0.35
a_1,0.89,1.05,0.96,0.84,0.43,0.31,0.48,0.39,0.49,0.34,0.53,0.37,0.36,0.74,0.38,0.35
h_1,0.7,0.88,0.81,0.72,0.67,0.62,0.24,0.27,0.39,0.3,0.32,0.28,0.33,0.3,0.28,0.32
d_0,0.47,0.67,0.86,0.81,0.79,0.77,0.45,0.25,0.45,0.29,0.34,0.34,0.32,0.29,0.38,0.33
g_1,0.72,0.71,0.79,0.71,0.71,0.81,0.33,0.32,0.22,0.3,0.33,0.32,0.23,0.31,0.3,0.33
c_0,0.78,0.7,1.42,0.46,0.7,0.75,0.47,0.51,0.39,0.24,0.39,0.31,0.28,0.31,0.3,0.27
b_0,0.66,0.67,1.04,0.65,0.95,0.62,0.39,0.38,0.37,0.2,0.23,0.29,0.27,0.41,0.32,0.27
f_0,0.64,1.05,0.74,0.68,0.71,0.68,0.48,0.34,0.28,0.36,0.33,0.22,0.28,0.34,0.42,0.19
h_0,0.67,0.84,0.72,0.7,0.59,0.64,0.41,0.32,0.44,0.32,0.34,0.32,0.33,0.31,0.29,0.24
a_0,0.67,0.71,0.78,0.67,0.84,1.0,0.41,0.42,0.42,0.3,0.2,0.31,0.26,0.21,0.31,0.26
e_0,0.89,1.04,0.76,0.72,0.67,0.6,0.36,0.33,0.37,0.35,0.3,0.18,0.28,0.28,0.2,0.24
g_0,0.71,0.72,0.71,0.82,0.67,0.65,0.3,0.36,0.49,0.34,0.31,0.34,0.22,0.31,0.31,0.31
