,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.12,4.56,4.02,5.13,5.98,4.14,1.08,1.94,1.07,1.06,0.97,2.97,0.56,1.17,0.88,1.14
e_1,2.78,1.13,6.02,6.05,5.31,5.64,1.99,1.69,1.18,1.14,1.37,1.42,0.89,1.15,0.91,3.19
d_1,5.61,5.89,1.13,4.95,5.27,5.17,1.27,0.99,1.09,2.92,1.14,1.09,0.73,0.93,0.53,1.01
c_1,7.24,4.83,7.06,1.13,5.81,5.94,1.77,1.56,2.66,0.63,1.09,1.07,0.95,1.25,0.87,0.93
b_1,7.15,6.43,7.09,3.61,1.13,6.99,2.3,2.19,1.65,1.33,3.07,1.22,0.98,1.34,1.06,1.41
a_1,11.46,8.6,9.56,12.44,5.2,1.15,2.85,3.21,1.49,2.07,1.98,1.46,1.52,4.68,1.13,1.85
h_1,19.84,18.24,16.97,20.17,15.8,17.67,1.8,5.44,3.73,3.76,3.91,3.13,4.14,3.41,2.42,3.28
g_1,23.66,24.36,18.7,24.89,21.95,19.99,4.37,1.78,4.07,3.69,3.66,4.6,2.23,3.83,4.1,3.66
c_0,26.94,22.33,11.15,59.35,22.47,23.56,5.56,6.16,2.35,5.96,4.6,4.17,3.11,5.12,2.99,4.35
d_0,24.61,12.76,39.53,26.6,26.63,22.24,7.05,8.56,5.05,2.56,5.1,4.27,3.54,6.32,3.97,4.58
b_0,29.77,29.03,21.08,38.57,46.39,19.59,7.11,6.16,2.88,5.17,2.29,4.34,3.76,4.68,3.57,4.9
f_0,49.88,28.79,26.56,24.3,28.48,25.37,8.89,5.01,4.97,5.64,5.34,2.4,3.6,4.74,2.78,4.3
h_0,35.15,33.83,31.92,42.27,32.31,27.11,16.36,10.32,6.92,8.16,6.88,7.15,9.41,5.74,5.04,5.9
a_0,37.66,35.92,39.09,46.76,48.75,58.21,10.91,11.14,6.99,8.38,3.97,7.05,4.14,2.53,5.12,7.4
g_0,48.57,38.71,39.99,43.46,44.94,39.58,7.44,17.12,7.99,9.12,7.93,7.9,4.22,7.29,9.81,8.7
e_0,62.56,81.02,39.09,41.15,45.65,37.34,10.1,10.03,8.08,7.29,6.96,3.39,8.28,9.97,4.64,2.58
