,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.8,4.39,2.77,2.76,2.63,2.29,9.79,13.55,9.75,12.66,8.95,13.14,19.26,9.95,12.46,16.96
e_1,3.1,5.91,3.4,2.49,2.73,2.84,11.05,20.75,10.47,13.46,13.44,12.85,21.5,12.07,14.62,18.84
c_1,2.93,2.36,6.78,2.57,5.19,3.46,10.15,10.93,10.26,7.68,12.29,9.04,18.63,12.6,13.02,22.47
d_1,2.77,2.82,2.16,6.97,2.69,2.95,11.33,9.6,12.36,24.58,15.96,17.4,19.48,16.94,14.13,20.7
b_1,2.79,2.54,3.1,2.61,8.08,5.89,9.7,14.43,9.7,10.98,12.08,8.58,19.25,14.68,12.91,20.76
a_1,2.91,2.66,3.22,2.87,3.07,10.56,9.66,13.63,9.31,11.37,12.7,13.28,20.51,14.72,12.44,20.36
h_1,3.6,2.99,3.33,3.12,2.81,2.61,20.01,11.95,14.61,13.03,13.29,14.62,15.54,13.25,14.08,25.91
d_0,3.02,2.62,4.86,2.35,3.51,3.13,11.42,18.6,10.3,10.37,15.56,13.0,20.5,14.09,15.14,24.84
g_1,2.89,2.68,2.66,4.75,2.78,2.56,11.9,12.0,23.37,14.87,21.04,16.07,20.62,18.93,19.62,18.57
c_0,3.12,3.29,2.51,3.47,2.51,2.7,12.48,13.48,13.61,21.58,15.59,26.92,22.68,18.65,20.39,24.27
f_0,2.31,2.22,3.4,3.35,3.53,3.62,12.6,14.72,12.71,17.55,23.84,16.49,22.95,34.66,16.37,26.59
b_0,3.22,3.15,3.2,3.39,2.37,2.45,11.87,12.23,13.56,13.53,14.66,24.09,23.09,17.65,29.93,26.55
h_0,3.8,2.85,2.88,3.06,2.98,2.94,9.41,13.74,13.72,12.83,14.34,15.49,18.89,17.55,16.67,27.18
e_0,2.68,2.28,3.38,3.4,3.73,3.07,13.16,14.29,11.64,13.48,15.96,16.13,25.55,33.29,19.87,28.15
a_0,3.54,2.92,3.41,2.93,3.09,2.32,11.09,13.03,10.61,13.4,14.1,13.88,23.31,16.89,32.09,24.8
g_0,2.3,2.73,3.13,4.31,3.42,3.08,10.86,11.66,9.98,16.75,21.63,16.62,21.55,22.92,15.33,19.58
