,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.0,1.22,0.69,0.74,0.66,0.58,0.87,0.87,0.91,0.86,0.59,0.98,0.95,0.98,0.73,0.88
e_1,0.78,2.03,0.64,0.92,0.81,0.68,0.88,0.92,1.64,0.91,1.04,1.0,1.02,1.0,0.68,1.03
d_1,0.8,0.71,2.19,0.62,0.64,0.61,0.91,0.96,0.67,1.8,1.11,1.24,1.11,1.17,1.09,1.03
c_1,0.73,0.71,0.77,2.36,1.34,0.64,0.91,0.92,0.81,0.44,0.97,0.64,0.8,0.88,1.06,0.83
b_1,0.8,0.71,0.76,0.7,2.56,1.58,1.04,0.91,0.94,0.76,0.85,0.55,0.97,0.7,0.99,0.92
a_1,0.84,0.75,0.88,0.68,0.68,3.69,1.14,1.06,0.74,0.99,1.08,1.13,1.13,0.46,0.93,1.01
h_1,1.13,0.77,0.93,0.86,0.74,0.86,2.08,1.24,1.01,0.78,0.98,0.87,0.7,0.91,0.99,1.45
g_1,0.8,0.73,1.26,0.91,0.68,0.71,1.0,2.21,0.84,1.02,1.43,0.9,0.95,1.18,1.12,0.76
d_0,0.79,0.79,0.48,1.6,0.91,0.93,0.98,1.06,1.69,0.66,1.11,0.84,0.98,1.06,0.97,0.96
c_0,0.95,0.82,1.04,0.69,0.57,0.7,1.15,1.06,0.97,1.85,1.01,2.27,1.09,1.42,1.16,1.26
f_0,0.65,0.66,0.98,0.92,0.91,0.78,1.22,1.05,1.04,1.17,2.01,0.98,1.1,0.86,2.35,1.34
b_0,0.95,0.68,1.05,1.03,0.51,0.55,1.02,0.98,1.13,1.03,1.12,2.08,1.31,2.27,1.23,1.36
h_0,1.13,0.84,0.89,0.79,0.67,0.74,0.77,1.42,1.0,0.98,1.07,1.19,0.83,1.21,1.05,1.39
a_0,0.85,0.75,1.05,0.92,0.9,0.45,1.24,1.04,0.93,0.99,1.02,0.98,1.2,2.34,1.3,1.3
e_0,0.91,0.54,0.94,0.9,0.83,0.97,1.26,1.04,1.14,1.05,1.17,1.21,1.35,1.11,2.3,0.99
g_0,0.78,0.7,1.24,0.84,0.79,0.77,0.96,0.83,0.82,1.32,1.74,1.15,1.12,1.23,1.39,0.9
