,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.99,1.14,1.08,1.05,1.06,1.09,1.29,0.9,1.19,0.97,1.08,1.11,1.09,1.1
f_1,1.28,1.0,0.87,1.0,0.9,0.98,0.85,1.01,0.98,0.9,0.94,0.96,0.83,0.89,0.81,1.08
d_1,1.0,1.14,1.0,0.98,0.9,0.86,1.03,0.81,0.95,1.23,0.95,1.16,0.99,1.09,0.98,0.82
c_1,0.89,1.0,1.01,1.0,1.39,0.87,1.02,1.05,0.72,0.79,0.94,0.79,1.03,0.89,0.99,0.98
b_1,0.91,1.11,1.09,0.72,1.0,1.44,1.07,1.1,0.98,1.2,1.02,0.97,1.04,0.89,0.98,1.01
a_1,0.98,1.0,1.13,1.15,0.71,1.0,1.18,1.05,1.15,1.08,1.01,1.14,1.12,0.96,1.21,1.1
h_1,0.95,1.16,1.01,0.97,0.88,0.87,1.0,1.25,0.98,0.93,0.96,0.97,1.07,0.95,0.95,1.12
g_1,0.94,1.01,1.22,0.96,0.94,0.95,0.79,1.0,0.94,1.08,1.19,0.93,0.85,1.01,1.03,1.12
d_0,0.77,1.03,1.09,1.41,1.0,0.87,1.04,1.03,1.0,0.82,0.88,0.98,1.2,1.05,0.98,1.03
c_0,1.02,1.08,0.81,1.24,0.83,0.98,1.11,1.0,1.31,1.0,1.13,1.41,1.02,1.07,1.01,1.12
f_0,0.88,1.12,1.02,1.06,1.01,0.95,1.04,0.83,1.1,0.94,1.0,1.09,1.03,1.01,1.63,0.87
b_0,1.01,1.09,0.88,1.23,1.0,0.93,0.93,1.06,1.05,0.76,0.95,1.0,1.06,1.41,0.87,0.99
h_0,0.93,1.16,1.08,0.94,0.98,0.91,0.92,1.19,0.85,1.04,0.93,0.94,1.0,0.93,0.83,1.16
a_0,0.91,1.08,0.93,1.05,1.11,1.1,1.1,0.96,0.97,0.98,0.99,0.74,1.08,1.0,0.99,1.0
e_0,0.94,1.27,0.96,1.01,1.0,0.85,1.05,0.99,1.01,1.01,0.65,1.13,1.19,1.02,1.0,0.96
g_0,0.94,0.94,1.21,0.97,0.94,0.9,0.87,0.88,0.97,0.96,1.21,0.99,0.9,1.08,1.15,1.0
