,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.33,0.87,1.1,0.61,0.75,0.61,1.48,3.16,1.42,1.69,1.77,1.54,2.22,1.48,1.9,1.06
f_1,1.44,2.38,0.77,0.71,0.65,0.62,1.43,1.62,1.19,1.62,1.01,1.5,1.89,1.3,1.82,0.97
c_1,0.78,0.8,2.47,0.75,1.4,0.64,1.36,1.67,1.19,0.8,1.61,1.14,2.2,1.28,1.96,1.22
d_1,0.81,0.99,0.61,2.51,0.73,0.66,1.67,1.02,1.44,3.02,1.78,1.84,2.34,1.36,2.37,1.38
b_1,0.75,0.8,0.78,0.83,2.59,1.42,1.6,1.59,1.43,1.47,1.75,1.04,2.11,1.19,1.54,1.29
a_1,0.82,0.76,0.83,1.04,0.84,3.0,1.57,1.7,1.53,1.66,1.83,1.59,2.02,0.81,1.78,1.58
h_1,0.86,1.22,0.93,0.97,0.82,0.63,3.25,1.58,2.03,1.75,1.77,1.46,1.83,1.53,2.47,1.47
d_0,0.88,0.89,1.74,0.63,0.83,0.61,1.68,2.94,1.47,1.08,1.72,1.44,2.26,1.69,1.94,1.64
g_1,0.83,0.89,0.94,1.39,0.78,0.65,1.8,1.79,3.56,1.73,2.75,1.57,2.03,1.37,1.59,1.58
c_0,1.06,1.09,0.64,1.04,0.6,0.58,1.98,2.13,1.65,3.21,2.1,3.37,2.38,1.93,2.3,1.61
f_0,0.83,0.83,1.07,0.96,0.87,0.56,1.93,1.97,1.62,1.84,3.07,1.91,2.8,1.61,2.34,3.04
b_0,0.98,1.14,0.97,0.85,0.59,0.46,1.94,2.37,1.54,1.99,1.83,3.52,2.43,3.51,2.01,1.67
h_0,0.92,1.23,0.81,1.05,0.88,0.68,1.33,1.79,1.95,1.94,1.69,1.77,1.71,1.58,2.7,1.54
a_0,0.99,1.02,1.07,0.82,0.81,0.5,2.05,2.28,1.61,1.73,2.03,1.93,2.42,3.55,2.02,1.82
g_0,0.85,0.83,0.78,1.38,0.87,0.62,1.86,1.73,1.36,2.21,2.94,1.91,2.2,1.43,1.86,1.9
e_0,0.72,1.08,1.03,1.14,0.86,0.5,1.9,1.88,1.71,1.86,1.69,1.63,2.67,1.85,2.29,3.53
