,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.74,0.91,0.74,0.99,0.77,0.76,0.88,1.59,0.91,0.97,0.95,0.96,1.06,0.89,0.93,0.66
f_1,1.28,1.83,0.8,0.75,0.7,0.62,0.9,1.0,0.87,1.02,0.99,0.69,0.96,0.8,0.91,0.82
d_1,0.85,0.89,1.91,0.72,0.73,0.74,0.98,0.6,1.62,0.88,1.2,1.01,0.99,1.08,1.04,0.95
c_1,0.74,0.79,0.78,1.96,1.31,0.8,0.86,0.92,0.63,0.8,0.7,0.87,1.03,0.83,1.02,1.08
b_1,0.72,0.71,0.89,0.82,2.08,1.54,0.98,0.85,0.86,0.86,0.7,1.01,0.92,0.88,0.98,1.02
a_1,0.69,0.84,0.8,0.91,0.84,2.8,1.18,1.0,0.99,0.93,1.1,1.14,1.07,0.94,0.94,1.09
h_1,0.81,1.09,1.04,0.85,0.75,0.65,1.77,0.96,1.06,1.34,1.03,1.02,0.74,1.05,1.24,1.12
d_0,0.79,0.85,0.7,1.4,0.98,0.75,0.95,1.38,0.65,1.12,0.91,1.0,1.1,0.86,1.01,1.09
c_0,0.88,0.88,1.01,0.71,0.76,0.8,1.16,0.95,1.42,1.19,1.88,1.16,1.0,1.59,1.09,1.18
g_1,0.88,0.9,1.13,0.83,0.77,0.71,1.04,1.01,1.03,2.02,1.1,1.5,0.84,1.08,0.86,1.28
b_0,0.97,0.96,0.92,0.84,0.67,0.7,1.07,0.95,1.04,1.19,1.65,1.17,1.2,2.1,1.07,1.11
f_0,0.73,0.87,0.95,0.97,0.93,0.86,1.32,0.96,1.09,1.07,1.06,1.79,1.09,1.34,1.18,2.14
h_0,0.87,1.15,0.95,0.81,0.86,0.7,0.83,1.0,0.99,1.35,0.97,1.13,0.87,1.07,1.31,0.98
a_0,0.93,0.95,0.96,0.88,0.82,0.65,1.11,0.88,0.99,1.27,1.13,1.04,1.09,2.17,1.22,1.1
g_0,0.78,0.79,1.34,0.84,0.89,0.63,0.94,0.85,1.1,0.86,1.04,1.53,1.08,1.2,0.77,1.07
e_0,0.74,0.91,1.03,0.86,0.83,0.84,1.24,0.75,1.14,1.23,1.05,1.12,1.16,1.13,1.22,2.07
