,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.44,0.97,1.94,1.77,1.77,1.74,0.57,0.52,0.35,0.36,0.35,0.44,0.36,0.26,0.54,0.33
f_1,1.65,0.43,1.6,1.83,1.5,1.59,0.33,0.68,0.38,0.37,0.35,0.7,0.31,0.17,0.32,0.24
d_1,1.96,1.92,0.41,1.73,1.76,1.81,0.47,0.31,0.71,0.35,0.39,0.33,0.35,0.24,0.36,0.14
c_1,1.37,1.94,2.27,0.41,1.94,1.88,0.54,0.46,0.22,0.61,0.39,0.35,0.36,0.24,0.31,0.25
b_1,2.1,2.36,2.04,1.03,0.38,1.83,0.64,0.6,0.42,0.52,0.92,0.55,0.33,0.32,0.45,0.36
a_1,2.41,2.71,2.51,2.67,1.2,0.32,0.84,0.94,0.53,0.54,0.65,0.37,1.33,0.38,0.46,0.49
h_1,2.84,2.95,2.58,2.75,2.84,2.61,0.32,0.79,0.6,0.61,0.61,0.63,0.49,0.7,0.46,0.43
g_1,3.18,3.96,2.73,3.28,2.91,2.68,0.6,0.3,0.73,0.66,0.7,0.62,0.69,0.44,0.56,0.58
d_0,1.68,3.31,4.81,3.69,3.69,3.87,0.99,0.87,0.37,0.66,0.72,0.55,0.61,0.48,0.69,0.53
c_0,3.37,3.3,1.59,7.09,4.76,3.22,1.01,1.04,1.01,0.34,0.65,0.61,0.63,0.54,0.69,0.4
b_0,3.02,3.29,2.47,4.51,6.1,2.98,0.93,0.95,0.73,0.33,0.32,0.63,0.6,0.53,0.66,0.51
f_0,3.84,7.39,3.19,4.01,3.51,3.63,1.04,0.66,0.86,0.65,0.68,0.31,0.6,0.62,0.63,0.31
a_0,3.35,4.3,3.95,3.93,5.96,5.06,1.05,1.01,0.76,0.61,0.42,0.63,0.35,0.61,0.83,0.65
h_0,3.58,4.59,3.72,4.16,3.5,3.13,1.89,1.02,0.8,0.7,0.77,0.68,0.69,0.88,0.72,0.57
e_0,7.44,5.78,3.64,3.95,4.49,3.49,1.13,1.15,0.9,0.78,0.92,0.34,0.64,0.46,0.32,0.48
g_0,5.48,5.09,3.67,5.18,4.33,3.74,0.9,2.16,1.0,0.85,1.01,0.8,0.71,0.47,0.71,0.93
