,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,103.26,35.88,54.51,42.72,63.3,165.1,4728.56,14530.9,11432.55,12933.4,22206.73,23807.94,58179.23,75626.33,117066.09,58989.97
f_1,47.69,116.85,45.62,44.36,64.69,187.6,4171.78,7569.84,7789.58,13616.71,6937.84,20126.38,42514.46,53634.66,84991.72,81412.25
c_1,28.67,32.69,140.98,47.04,98.81,138.68,3867.84,6630.4,7900.04,4422.88,18764.58,18171.51,58107.57,55320.71,101428.07,85688.04
d_1,27.87,38.28,35.11,146.14,56.73,132.5,4095.12,4383.53,8596.57,18327.74,17322.88,23392.86,54183.54,50215.91,93950.87,87697.42
b_1,26.38,27.28,30.69,38.0,189.83,251.62,3807.74,5815.67,9076.09,8921.47,18903.2,9577.02,50810.49,49829.79,64578.94,74368.26
a_1,18.16,20.03,30.44,34.87,34.69,415.82,2728.27,4726.14,5762.05,8604.72,13829.23,16455.57,32911.81,16450.57,58707.59,82742.03
h_1,8.22,14.75,16.26,17.9,20.09,49.05,2901.62,2793.52,4119.0,3843.83,6101.64,6937.58,9116.72,19523.86,36782.06,32728.13
d_0,7.71,10.72,22.96,7.24,18.89,41.31,1307.53,3871.75,2273.16,3129.3,5069.75,5522.85,14042.31,18842.81,23542.64,29455.85
g_1,7.15,9.42,13.48,16.55,14.61,48.35,1009.42,2048.57,5453.8,2502.55,5980.47,5044.57,11835.01,17019.98,11443.79,20006.8
c_0,8.12,9.2,8.88,12.32,16.58,32.31,1270.73,2257.78,2640.45,5367.73,5129.94,9032.51,13054.99,16356.72,24411.46,22016.18
f_0,6.28,7.56,11.05,11.49,11.53,29.75,1127.31,1930.83,2324.45,2624.99,7144.88,5727.2,13056.52,15831.42,19586.04,38780.28
b_0,6.21,9.0,10.01,8.74,8.11,22.42,1134.91,2079.76,2192.8,2425.71,3848.89,8608.64,11716.27,23805.37,19102.57,21495.35
h_0,4.21,8.93,6.43,7.62,10.49,23.87,537.96,1397.32,1871.61,2157.68,2755.55,3716.46,5413.91,11372.46,19487.51,13402.99
a_0,4.61,6.46,6.59,7.48,8.32,15.56,742.64,1359.39,1204.2,1751.66,2999.77,3138.53,8151.5,19791.19,12949.19,15881.51
g_0,3.99,4.53,5.21,8.39,10.14,16.95,523.85,1127.46,1103.6,1702.58,3455.25,3214.23,5899.75,9986.76,8254.04,16655.06
e_0,2.63,5.11,6.14,6.73,9.34,13.29,676.1,1165.97,1489.12,2119.64,2151.98,2878.17,7786.54,10104.59,11943.49,26872.9
