,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.9,0.83,0.88,0.87,1.02,0.38,0.34,0.47,0.36,0.35,0.51,0.25,0.37,0.39,0.33
e_1,0.57,0.41,0.91,1.1,0.95,0.8,0.53,0.42,0.52,0.52,0.41,0.55,0.37,0.46,0.36,0.68
d_1,1.04,1.03,0.4,0.83,0.82,0.77,0.43,0.47,0.35,0.62,0.44,0.39,0.34,0.32,0.24,0.39
c_1,0.97,0.73,0.96,0.39,0.94,0.82,0.54,0.5,0.45,0.25,0.35,0.35,0.33,0.38,0.35,0.35
b_1,1.03,0.93,0.84,0.54,0.36,1.1,0.51,0.48,0.47,0.44,0.8,0.4,0.42,0.41,0.33,0.36
a_1,0.79,1.12,1.09,0.88,0.52,0.29,0.45,0.45,0.57,0.48,0.46,0.41,0.37,0.61,0.41,0.41
h_1,0.95,0.7,0.76,0.75,0.74,0.75,0.25,0.34,0.46,0.37,0.41,0.33,0.42,0.33,0.34,0.37
c_0,0.9,0.79,0.46,1.3,0.82,0.74,0.47,0.26,0.45,0.52,0.45,0.35,0.31,0.4,0.28,0.32
g_1,0.82,0.77,0.9,0.86,0.92,0.63,0.33,0.28,0.22,0.32,0.35,0.34,0.21,0.38,0.31,0.4
d_0,0.85,0.45,1.33,0.99,0.81,0.8,0.42,0.3,0.48,0.25,0.36,0.35,0.32,0.34,0.33,0.35
b_0,0.81,0.73,0.73,1.09,1.12,0.63,0.39,0.2,0.44,0.34,0.23,0.33,0.3,0.48,0.31,0.37
f_0,1.24,0.68,0.75,0.86,0.74,0.7,0.46,0.32,0.31,0.35,0.32,0.23,0.3,0.39,0.19,0.4
h_0,0.84,0.72,0.75,0.73,0.75,0.65,0.58,0.33,0.53,0.35,0.32,0.34,0.36,0.31,0.31,0.28
a_0,0.89,0.63,0.84,0.89,0.82,0.98,0.52,0.31,0.4,0.33,0.2,0.31,0.34,0.21,0.35,0.4
g_0,0.74,0.73,0.88,0.75,0.86,0.68,0.3,0.39,0.65,0.3,0.33,0.48,0.26,0.31,0.39,0.33
e_0,1.12,0.98,0.65,0.83,0.77,0.77,0.45,0.33,0.37,0.3,0.38,0.18,0.39,0.33,0.25,0.19
