,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.66,0.83,1.29,1.49,1.52,1.13,0.58,0.66,0.65,0.5,0.49,0.53,0.39,0.5,0.76,0.39
f_1,1.4,0.66,1.01,1.38,1.37,1.14,0.44,0.53,0.61,0.44,0.44,0.67,0.29,0.43,0.36,0.42
d_1,1.59,1.47,0.64,1.47,1.16,1.09,0.59,0.7,0.39,0.5,0.46,0.5,0.41,0.4,0.43,0.27
c_1,1.12,1.44,1.63,0.63,1.54,1.15,0.63,0.31,0.77,0.6,0.51,0.5,0.39,0.46,0.45,0.37
b_1,1.34,1.57,1.8,0.81,0.62,1.97,0.69,0.49,0.61,0.72,0.91,0.46,0.39,0.52,0.41,0.42
a_1,1.88,1.78,1.71,1.76,0.84,0.58,0.89,0.66,0.7,0.58,0.64,0.53,0.53,0.78,0.7,0.5
h_1,2.06,2.29,1.94,2.04,1.81,1.61,0.57,0.85,0.96,0.67,0.72,0.7,0.81,0.63,0.59,0.7
d_0,1.34,2.29,2.58,2.56,2.28,1.85,0.93,0.61,1.13,0.64,0.73,0.74,0.69,0.65,0.71,0.7
g_1,2.09,2.4,2.7,2.09,2.1,1.86,0.77,0.88,0.53,0.86,0.76,0.84,0.56,0.78,0.69,0.7
c_0,2.25,2.24,1.42,4.08,2.08,2.3,1.17,1.21,0.97,0.6,0.93,0.83,0.72,0.86,0.75,0.69
b_0,2.15,2.48,1.97,2.88,3.18,1.92,1.03,0.93,1.12,0.51,0.58,0.77,0.82,0.78,0.76,0.7
f_0,2.28,3.01,2.51,2.35,2.13,1.97,1.17,1.01,0.74,0.84,0.84,0.57,0.79,0.81,0.85,0.55
h_0,2.48,3.07,2.48,2.52,2.5,2.03,1.44,0.91,1.23,0.93,0.8,0.81,0.99,0.69,0.71,0.78
a_0,2.12,2.9,2.71,2.88,3.0,3.36,1.32,1.04,1.1,0.81,0.63,0.92,0.95,0.57,0.85,0.7
e_0,3.1,3.31,2.55,2.81,2.85,2.23,1.33,1.03,1.07,0.97,0.86,0.56,0.81,0.93,0.58,0.8
g_0,2.82,2.92,2.93,2.96,2.44,2.33,0.9,0.96,1.57,0.86,0.85,1.1,0.68,0.87,0.78,1.01
