,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.13,0.67,0.72,0.71,0.53,0.75,0.69,0.78,0.73,0.77,0.52,0.85,0.62,0.52,0.75
e_1,0.73,1.53,0.63,0.87,0.71,0.58,0.93,0.89,0.85,1.46,0.85,0.87,1.0,0.78,0.54,0.88
d_1,0.83,0.78,1.55,0.56,0.71,0.6,0.94,1.43,0.7,0.76,0.98,1.03,0.95,0.8,0.86,0.79
c_1,0.78,0.64,0.83,1.56,1.15,0.45,0.78,0.47,0.75,0.67,0.66,0.87,0.86,0.78,0.69,0.83
b_1,0.74,0.69,0.85,0.64,1.58,1.14,0.92,0.82,0.8,0.8,0.64,0.8,0.98,0.6,0.77,0.96
a_1,0.88,0.74,0.91,1.02,0.55,1.75,1.05,1.12,0.89,0.92,1.1,0.84,1.07,0.65,0.73,1.03
h_1,1.28,0.92,1.06,0.9,0.92,0.76,1.76,1.03,1.23,1.18,1.2,1.08,0.99,0.85,0.85,1.46
c_0,1.22,1.09,0.9,1.01,0.76,0.84,1.21,1.7,0.83,1.17,1.98,1.2,1.23,1.18,1.13,1.07
g_1,0.98,0.9,1.49,0.99,0.92,0.79,0.97,1.35,1.84,1.06,0.97,1.6,1.2,1.16,1.01,0.99
d_0,1.19,0.9,0.66,1.82,0.9,0.89,1.02,1.07,1.06,1.6,1.18,1.01,1.16,1.03,0.83,1.14
b_0,1.18,1.13,1.03,1.19,0.82,0.61,0.84,1.08,1.31,1.28,1.7,1.11,1.4,1.97,1.19,1.32
f_0,0.99,0.94,1.03,1.16,1.17,0.87,1.22,1.23,0.97,1.3,1.24,1.69,1.41,1.11,1.93,0.98
h_0,1.42,1.05,1.08,1.08,0.97,0.88,0.89,1.29,1.4,1.3,1.26,1.04,1.1,1.03,1.0,1.72
a_0,1.31,1.08,1.13,1.06,1.08,0.67,1.44,1.22,0.93,1.26,1.02,1.22,1.39,1.75,1.1,1.3
e_0,1.3,0.94,1.05,1.13,1.16,0.77,1.36,1.24,1.23,1.33,1.26,0.9,1.39,1.09,1.84,1.43
g_0,1.07,1.0,1.62,1.2,0.98,0.82,1.14,1.33,0.86,1.05,1.1,1.86,1.03,1.11,0.96,1.03
