,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.52,1.36,0.78,0.86,0.67,0.74,0.87,0.91,0.91,1.08,0.93,0.64,1.01,0.81,1.13,0.67
e_1,0.89,1.54,0.8,1.14,0.82,0.69,1.09,1.06,1.0,1.66,0.99,1.19,1.14,0.98,1.05,0.75
d_1,1.03,0.89,1.55,0.77,0.9,0.61,1.08,1.63,0.85,0.76,1.12,1.0,1.15,0.89,0.96,0.99
c_1,0.9,0.77,0.99,1.56,1.39,0.71,1.06,0.81,0.81,0.87,0.79,0.96,1.1,0.78,1.05,0.82
b_1,1.03,0.89,0.93,0.83,1.63,1.27,1.16,1.11,0.92,0.99,0.91,1.06,1.22,0.82,1.04,0.84
a_1,0.96,0.98,1.19,1.02,0.79,1.79,1.15,1.21,1.24,1.11,1.19,1.13,1.42,1.06,1.3,1.0
h_1,1.46,1.04,1.24,1.04,0.94,0.85,1.82,1.22,1.45,1.32,1.28,1.09,1.17,1.01,1.69,1.12
c_0,1.41,1.13,1.06,1.08,0.8,0.93,1.51,1.74,1.42,1.62,2.17,1.44,1.59,1.53,1.39,1.25
g_1,1.13,1.06,1.56,1.25,1.07,0.81,1.27,1.33,1.91,1.19,1.22,1.64,1.14,1.26,1.03,1.16
d_0,1.21,0.93,1.01,1.84,1.17,0.79,1.37,1.0,1.36,1.74,1.32,1.33,1.41,1.31,1.47,1.18
b_0,1.36,1.25,1.24,1.31,0.87,0.8,1.37,1.14,1.3,1.4,1.83,1.38,1.56,2.19,1.49,1.1
f_0,1.25,0.95,1.39,1.26,1.11,0.92,1.71,1.4,1.22,1.33,1.31,1.84,1.36,1.36,1.24,2.21
h_0,1.6,1.28,1.27,1.25,1.01,0.89,1.26,1.32,1.8,1.37,1.33,1.33,1.3,1.25,1.68,1.03
a_0,1.33,1.28,1.39,1.46,1.19,0.72,1.67,1.35,1.17,1.44,1.12,1.36,1.5,1.82,1.3,1.35
g_0,1.19,1.18,1.7,1.3,1.09,0.81,1.29,1.5,1.32,1.38,1.41,2.01,1.41,1.25,1.28,1.44
e_0,1.49,1.14,1.35,1.41,1.28,0.87,1.43,1.56,1.11,1.35,1.29,1.11,1.73,1.27,1.43,1.88
