,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.52,0.83,0.87,1.02,0.81,0.74,1.03,1.6,0.87,0.97,1.03,1.09,1.17,0.79,1.12,0.77
f_1,1.34,1.54,0.85,0.91,0.76,0.59,0.91,1.06,0.91,0.95,1.07,0.7,1.08,0.82,0.99,0.68
d_1,0.91,1.0,1.56,0.76,0.76,0.69,1.04,0.8,1.0,1.65,1.09,1.01,1.14,1.04,0.98,0.88
c_1,0.79,0.92,0.86,1.58,1.39,0.79,1.04,0.95,0.92,0.75,0.83,0.99,1.07,0.89,1.0,0.85
b_1,0.92,0.94,0.95,0.79,1.63,1.29,1.09,1.04,0.89,1.12,0.85,1.07,1.04,0.72,1.0,1.04
a_1,1.04,1.17,0.96,0.98,0.77,1.75,1.07,1.23,1.04,0.99,1.02,1.09,1.37,0.78,1.15,0.89
h_1,1.13,1.43,1.24,0.98,0.92,0.95,1.83,1.34,1.39,1.19,1.3,1.29,1.23,1.07,1.76,1.11
d_0,0.97,1.23,0.93,1.85,1.27,0.8,1.27,1.73,1.11,0.9,1.26,1.23,1.47,1.2,1.39,1.18
g_1,1.07,1.16,1.58,1.18,1.03,0.81,1.15,1.26,1.93,1.42,1.38,1.73,1.35,1.23,1.13,1.24
c_0,1.17,1.37,1.09,1.1,0.82,1.06,1.57,1.42,1.28,1.79,2.15,1.48,1.68,1.41,1.62,1.35
b_0,1.16,1.29,1.25,1.26,0.81,0.92,1.39,1.48,1.27,1.17,1.81,1.4,1.64,2.0,1.51,1.24
f_0,1.01,1.23,1.25,1.25,1.16,0.97,1.43,1.49,1.21,1.24,1.48,1.86,1.48,1.22,1.44,1.99
h_0,1.26,1.59,1.25,1.26,1.05,0.85,1.14,1.38,1.54,1.25,1.38,1.42,1.31,1.12,1.63,1.2
a_0,1.35,1.53,1.26,1.34,1.17,0.67,1.53,1.38,1.35,1.36,1.33,1.54,2.01,1.85,1.53,1.2
g_0,1.15,1.16,1.71,1.28,1.25,0.98,1.21,1.41,1.18,1.23,1.34,1.86,1.46,1.23,1.46,1.65
e_0,0.97,1.48,1.29,1.51,1.17,1.16,1.37,1.35,1.32,1.26,1.36,1.19,1.65,1.34,1.25,1.91
