,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.14,13.12,10.94,11.3,10.72,10.9,3.02,9.36,2.14,2.38,2.23,2.18,1.17,2.45,1.81,1.06
e_1,10.85,1.14,6.45,10.46,13.62,11.45,4.42,2.28,4.01,2.68,3.12,2.64,1.92,2.08,16.74,2.2
f_1,11.37,12.46,1.14,11.22,13.1,17.98,1.96,2.63,4.04,1.91,8.07,2.09,1.04,2.07,1.92,1.67
c_1,15.81,9.94,11.85,1.15,11.16,13.4,3.24,1.29,3.92,14.42,2.07,2.48,2.06,2.54,2.57,2.46
b_1,15.96,16.61,20.44,7.96,1.15,12.2,4.52,2.47,3.92,4.19,2.47,14.33,2.29,3.93,3.08,2.31
a_1,16.32,19.28,20.2,24.19,9.93,1.15,7.96,3.73,6.29,4.95,4.41,5.27,4.21,19.85,5.27,3.27
h_1,25.6,29.32,28.21,33.66,25.1,24.7,1.92,6.21,11.47,5.15,6.01,5.95,17.0,5.09,5.0,4.3
d_0,131.78,17.02,37.93,37.1,38.73,27.33,9.83,2.75,8.84,6.49,5.54,6.65,4.97,5.29,5.35,6.08
g_1,35.23,32.01,30.21,38.41,39.29,30.15,7.37,10.19,1.91,7.55,5.89,6.82,4.46,12.81,7.26,9.34
c_0,17.53,38.34,33.15,130.6,37.14,25.95,11.06,10.04,10.22,2.51,8.19,8.22,6.8,6.84,8.02,5.63
f_0,32.94,42.04,136.56,39.34,43.73,35.34,12.06,7.59,7.52,7.73,2.76,6.9,6.31,5.67,6.02,2.95
b_0,37.45,32.92,38.36,58.3,150.61,38.68,11.54,9.36,8.72,3.69,6.89,2.62,5.67,8.45,7.4,4.35
h_0,48.74,47.79,62.07,43.53,60.24,46.59,31.84,10.84,13.91,8.89,8.19,8.22,17.0,9.68,8.37,6.18
a_0,43.93,49.84,59.89,62.79,73.27,,17.69,13.39,15.21,10.3,11.77,5.27,9.02,2.78,10.41,6.96
e_0,46.82,116.3,83.27,74.2,55.33,39.42,15.92,13.13,10.38,10.47,4.96,10.96,7.37,7.94,2.83,8.7
g_0,54.74,60.16,85.35,51.02,49.29,58.57,15.31,13.13,59.45,8.54,11.53,11.89,7.02,12.03,10.13,14.73
