,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.67,5.94,6.18,6.44,6.97,4.85,1.91,2.55,2.52,1.86,2.11,,1.89,1.07,1.78,1.61
e_1,4.02,0.67,6.62,4.55,5.75,5.19,2.66,2.27,2.58,1.93,2.08,2.16,2.34,1.82,1.41,
d_1,5.14,5.88,0.66,5.8,5.62,4.57,2.73,1.36,,2.69,2.3,2.51,2.04,2.2,1.07,2.29
c_1,5.36,8.48,5.81,0.65,6.66,7.08,2.2,2.43,1.27,,2.1,1.78,3.38,1.62,1.8,1.71
b_1,5.81,6.58,6.71,3.8,0.62,8.41,3.33,2.62,2.53,2.27,,1.95,2.73,1.74,1.87,1.87
a_1,7.83,7.42,7.71,6.4,3.71,0.58,4.05,4.13,2.38,3.23,2.3,2.12,,2.8,1.69,
h_1,6.11,5.24,4.92,6.2,4.32,3.44,0.61,2.12,1.73,1.81,1.64,1.74,1.55,,1.47,1.72
g_1,5.31,6.54,7.5,5.12,6.09,3.95,2.11,0.58,1.78,1.81,2.03,2.05,1.59,1.19,,
d_0,4.77,2.87,,6.71,4.8,5.16,1.76,3.15,0.71,1.8,1.51,1.69,1.6,1.82,1.13,1.44
c_0,5.26,4.91,2.99,,6.07,4.21,2.1,2.06,1.58,0.69,2.57,1.6,1.83,1.67,1.33,
b_0,4.64,5.11,4.68,5.4,,5.56,2.36,2.64,2.13,1.03,0.68,1.97,2.06,1.63,1.85,1.51
f_0,,4.81,4.82,6.24,4.64,5.96,2.27,1.94,1.71,2.29,2.24,0.67,1.62,1.33,1.08,
a_0,7.48,5.24,6.77,4.3,5.12,,3.4,3.48,2.07,1.97,1.32,2.61,0.61,1.53,2.04,
h_0,5.48,5.16,3.47,4.26,3.95,4.07,,2.16,1.49,1.62,1.52,1.66,1.37,,1.71,1.74
g_0,4.91,6.37,6.94,4.64,4.7,5.91,1.69,,2.07,2.13,1.55,2.02,1.55,1.02,,1.82
e_0,8.66,,4.93,7.86,7.24,,3.16,,2.4,,2.23,,,1.56,1.68,0.57
