,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,5.5,0.6,0.48,0.74,0.64,0.59,2.1,5.84,2.08,2.55,3.59,3.01,2.58,4.3,0.67,4.74
f_1,1.09,5.82,0.61,0.54,0.56,0.42,1.94,2.29,2.02,3.3,2.8,0.58,3.09,4.5,2.06,3.66
d_1,0.61,0.53,6.29,0.52,0.55,0.54,2.52,0.68,2.15,5.84,3.22,3.11,2.93,4.78,4.27,4.61
c_1,0.51,0.6,0.55,6.52,1.05,0.77,2.01,2.97,1.84,0.5,2.53,2.65,2.8,4.53,3.21,5.48
b_1,0.46,0.63,0.74,0.62,7.53,1.05,2.05,3.04,2.28,2.28,0.26,3.17,2.26,4.35,3.49,2.84
a_1,0.66,0.65,0.49,0.71,0.58,11.14,2.39,2.18,2.15,3.02,3.35,3.37,0.43,3.49,3.35,3.33
h_1,1.03,1.63,0.99,0.87,0.97,0.93,14.62,3.9,4.0,3.95,4.51,4.77,5.12,2.44,5.03,7.69
d_0,1.13,1.07,0.35,2.07,0.98,1.0,3.73,13.66,4.3,3.76,6.41,5.37,4.78,8.25,4.46,7.12
g_1,0.97,0.86,1.59,1.09,0.81,0.73,3.91,4.76,19.26,5.69,5.2,8.42,5.59,8.74,6.1,3.46
c_0,1.05,1.28,1.34,0.46,0.69,0.96,4.94,5.08,4.44,14.42,10.68,7.04,5.71,8.44,5.8,9.06
b_0,1.05,1.47,1.04,1.11,,0.97,5.12,5.52,4.58,4.47,16.3,6.75,9.62,7.28,5.02,6.98
f_0,0.68,0.35,1.51,1.37,0.97,0.97,4.6,5.97,4.78,5.68,5.57,18.42,7.34,8.94,12.63,9.83
a_0,1.33,1.15,1.18,1.04,1.02,,4.12,4.34,4.26,5.34,3.42,5.92,22.19,8.14,4.61,5.23
h_0,1.07,1.5,1.06,0.98,0.8,0.97,1.74,4.91,5.21,4.61,5.04,5.71,5.09,2.28,5.16,11.14
e_0,0.22,1.13,1.44,0.99,1.24,1.41,3.81,5.07,4.98,5.26,6.61,5.7,4.61,8.99,22.4,8.59
g_0,0.95,0.98,1.77,0.99,1.22,0.85,3.26,3.34,1.45,4.0,4.97,9.08,4.18,6.76,5.19,3.07
