,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.88,0.16,0.07,0.07,0.06,0.05,0.07,0.07,0.05,0.07,0.08,0.01,0.09,0.05,0.06,0.03
e_1,0.11,0.88,0.07,0.09,0.06,0.03,0.08,0.09,0.06,0.14,0.07,0.07,0.09,0.05,0.07,0.02
d_1,0.09,0.08,0.88,0.08,0.08,0.03,0.09,0.15,0.05,0.01,0.06,0.06,0.07,0.05,0.07,0.05
c_1,0.1,0.07,0.1,0.87,0.13,0.05,0.09,0.02,0.05,0.08,0.05,0.06,0.08,0.03,0.07,0.04
b_1,0.09,0.08,0.1,0.1,0.87,0.08,0.08,0.08,0.05,0.07,0.02,0.06,0.07,0.05,0.05,0.04
a_1,0.07,0.09,0.09,0.09,0.06,0.87,0.09,0.09,0.07,0.09,0.07,0.07,0.08,0.01,0.05,0.04
h_1,0.21,0.14,0.17,0.12,0.11,0.09,0.52,0.13,0.14,0.12,0.13,0.11,0.05,0.07,0.16,0.07
c_0,0.2,0.15,0.15,0.07,0.1,0.07,0.15,0.38,0.14,0.16,0.25,0.15,0.14,0.1,0.11,0.09
g_1,0.16,0.14,0.22,0.14,0.11,0.07,0.1,0.12,0.52,0.09,0.11,0.17,0.1,0.07,0.03,0.07
d_0,0.18,0.14,0.04,0.26,0.11,0.06,0.17,0.11,0.12,0.38,0.14,0.12,0.11,0.1,0.15,0.09
b_0,0.22,0.17,0.14,0.16,0.03,0.07,0.11,0.15,0.13,0.14,0.4,0.16,0.14,0.21,0.13,0.09
f_0,0.06,0.12,0.17,0.18,0.13,0.09,0.16,0.16,0.12,0.16,0.12,0.4,0.13,0.11,0.12,0.19
h_0,0.27,0.14,0.15,0.15,0.08,0.07,0.04,0.14,0.15,0.13,0.11,0.11,0.06,0.09,0.12,0.06
a_0,0.17,0.13,0.24,0.16,0.1,,0.14,0.13,0.09,0.16,0.1,0.14,0.17,0.34,0.1,0.09
g_0,0.13,0.14,0.24,0.14,0.12,0.06,0.13,0.13,0.06,0.13,0.11,0.2,0.12,0.07,0.05,0.07
e_0,0.19,0.05,0.19,0.17,0.15,0.09,0.13,0.19,0.09,0.16,0.11,0.15,0.14,0.06,0.11,0.34
