,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.66,1.08,2.36,2.82,2.09,2.1,1.22,0.91,0.95,0.65,0.91,0.94,0.66,1.44,0.63,0.73
f_1,2.62,0.66,1.79,2.09,1.98,1.68,0.75,0.91,1.0,0.78,1.77,0.54,0.49,0.63,0.78,0.67
d_1,2.42,2.37,0.65,2.06,2.04,1.79,0.97,1.59,0.73,0.87,0.72,0.83,0.61,0.81,0.74,0.42
c_1,1.73,2.88,2.36,0.65,2.49,2.01,0.85,0.49,0.83,1.24,0.81,0.75,0.7,0.66,0.66,0.68
b_1,2.37,2.96,2.22,1.28,0.63,2.96,1.03,0.85,1.02,0.99,0.74,1.93,0.72,0.76,0.71,0.65
a_1,2.54,2.93,2.84,2.57,1.5,0.58,1.23,1.13,1.21,1.0,0.76,1.39,0.86,0.98,1.93,0.81
h_1,2.22,3.19,2.68,2.65,2.7,2.77,0.59,0.97,1.4,0.95,0.99,0.9,1.04,0.84,0.75,0.84
d_0,1.62,3.35,4.64,3.33,2.78,2.38,1.29,0.69,1.62,1.0,1.05,0.97,0.69,1.02,1.06,0.89
g_1,3.17,2.91,2.78,3.19,3.33,2.33,0.98,0.9,0.57,1.1,1.11,0.91,0.67,0.83,0.78,1.03
c_0,3.19,2.65,1.81,7.48,2.84,3.34,1.46,1.35,1.41,0.64,1.21,1.16,0.79,1.0,0.88,0.84
f_0,2.75,5.75,2.89,3.11,2.74,2.92,1.47,1.07,0.97,1.01,0.63,1.17,0.78,1.32,1.11,0.66
b_0,2.38,4.2,2.97,4.32,3.86,2.52,1.36,0.98,1.52,0.75,0.96,0.62,0.93,1.22,1.19,0.93
h_0,3.52,3.59,3.51,3.12,3.09,2.55,2.39,1.42,1.7,1.25,1.25,1.28,1.75,0.86,1.21,0.99
e_0,3.94,5.79,3.44,3.82,3.2,2.79,1.62,1.33,1.6,1.49,0.7,1.06,1.23,0.59,1.58,1.03
a_0,3.98,3.08,4.08,4.5,4.1,4.92,1.58,1.14,1.5,1.34,0.97,0.74,1.11,0.87,0.61,0.82
g_0,3.66,3.98,4.05,3.13,3.15,3.19,1.22,1.35,2.72,1.16,1.47,1.18,0.96,1.01,1.25,1.49
