,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.89,0.17,0.24,0.27,0.18,0.09,0.18,0.4,0.2,0.16,0.16,0.18,0.2,0.21,0.06,0.12
d_1,0.18,0.91,0.21,0.17,0.17,0.12,0.18,0.1,0.39,0.16,0.23,0.19,0.21,0.16,0.17,0.13
f_1,0.39,0.19,0.89,0.24,0.14,0.14,0.16,0.18,0.17,0.13,0.15,0.06,0.22,0.14,0.09,0.1
c_1,0.2,0.18,0.22,0.89,0.37,0.1,0.22,0.17,0.09,0.15,0.12,0.17,0.17,0.14,0.11,0.09
b_1,0.22,0.23,0.24,0.18,0.88,0.24,0.17,0.18,0.16,0.15,0.08,0.15,0.18,0.15,0.09,0.08
a_1,0.25,0.22,0.24,0.21,0.11,0.88,0.22,0.22,0.2,0.16,0.2,0.19,0.18,0.17,0.11,0.06
h_1,0.27,0.27,0.34,0.26,0.21,0.15,0.59,0.22,0.21,0.23,0.21,0.2,0.16,0.24,0.14,0.14
d_0,0.26,0.12,0.29,0.51,0.23,0.14,0.27,0.46,0.15,0.18,0.22,0.18,0.23,0.17,0.12,0.16
c_0,0.27,0.32,0.27,0.19,0.19,0.15,0.22,0.25,0.45,0.16,0.44,0.24,0.23,0.22,0.17,0.16
g_1,0.2,0.44,0.21,0.28,0.22,0.11,0.24,0.22,0.24,0.56,0.23,0.33,0.19,0.15,0.16,0.13
b_0,0.27,0.31,0.31,0.27,0.14,0.13,0.3,0.23,0.27,0.17,0.48,0.23,0.27,0.23,0.14,0.31
f_0,0.25,0.34,0.13,0.28,0.23,0.15,0.28,0.28,0.27,0.18,0.25,0.44,0.25,0.27,0.29,0.15
h_0,0.3,0.29,0.36,0.25,0.18,0.14,0.17,0.26,0.23,0.25,0.2,0.21,0.14,0.27,0.13,0.11
g_0,0.22,0.45,0.21,0.29,0.2,0.14,0.27,0.21,0.25,0.15,0.2,0.33,0.22,0.12,0.14,0.13
e_0,0.14,0.32,0.27,0.28,0.22,0.18,0.3,0.23,0.28,0.19,0.28,0.25,0.32,0.25,0.42,0.15
a_0,0.25,0.3,0.24,0.31,0.24,0.11,0.25,0.27,0.25,0.21,0.26,0.23,0.29,0.21,0.15,0.36
