,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,11851.91,7280.05,5076.66,7143.81,12268.51,30680.34,5317645.83,11478557.08,18792000.73,15364174.76,36516429.64,36183585.62,107422101.43,152752863.74,428655029.38,226628156.34
e_1,4642.11,12001.14,4819.65,8103.94,11407.68,38340.69,7375431.79,12457912.2,32944313.57,20882828.38,43382825.62,72507705.56,130968605.91,175257450.81,488598029.05,260998646.21
d_1,4615.9,4229.1,15612.05,5762.28,11929.2,43430.66,5924527.68,13077748.03,10791416.23,36809141.43,49097934.39,78354319.21,118696333.88,179169708.49,491084118.41,387144532.43
c_1,4378.23,4235.67,5248.5,20883.1,24068.72,38439.35,5019156.26,10333543.58,17582985.87,10824495.41,23775008.71,56924718.42,109478826.4,164482459.38,418392087.44,297125151.83
b_1,4150.63,3982.78,5697.87,7043.38,45781.51,81058.43,5507459.43,12278942.15,18404033.88,16075180.48,18237544.51,63688360.16,76952549.45,166062607.23,423920364.92,320087293.42
a_1,4564.19,4043.2,6141.27,6945.22,14745.68,180047.66,6407055.65,14223931.11,18687510.23,19129901.92,32761879.02,69913309.1,72543453.22,222573955.25,497917208.9,331184209.05
h_1,6441.39,4317.38,6128.73,8040.72,12413.91,36065.41,12957732.81,17255978.52,22608882.99,22128650.23,39751424.39,68602716.79,109439470.96,135880148.59,707307518.84,405151183.16
g_1,4142.57,4323.17,9861.22,7272.87,11612.85,44492.54,5460422.62,33101262.19,15404266.21,21441340.13,38484490.01,99599787.26,101165241.06,170678505.41,482313317.15,372087565.79
d_0,4860.54,4285.41,3955.66,13858.94,15572.01,38928.91,6573563.98,13187537.32,33790003.3,14329134.33,36810911.02,69548602.07,123545617.13,186621559.94,483427737.21,361532305.28
c_0,5511.32,5022.17,5988.59,5866.95,10795.27,39290.48,6897375.94,17294551.12,23014862.93,36812929.4,88181966.05,84593449.31,163830349.9,198014112.11,504401486.83,475361532.54
b_0,5822.07,4752.98,6355.61,8377.39,11354.31,32633.55,6744179.12,17016602.98,20877394.9,20727620.07,70225841.27,60211765.94,262486126.08,231766203.97,547635899.99,378448037.0
f_0,4043.65,4105.88,6566.88,8873.88,15583.32,46698.07,7755113.56,13607177.63,23868092.68,21799971.03,43641980.11,140265318.93,118318181.51,202443075.02,594740334.01,901436802.71
a_0,6227.83,4633.18,6178.43,8085.79,12607.24,28321.84,7574146.5,17090123.8,22526668.87,21751870.22,48877810.54,76964252.86,275219495.6,187343294.53,578995139.86,368095355.14
h_0,7113.51,5132.12,6787.07,7795.5,13371.42,31089.49,4416112.13,19521879.68,17945886.92,18794912.82,37356273.57,73017073.03,122376306.82,137336617.0,677630280.29,351804053.53
g_0,4666.2,4414.04,8465.51,7632.68,13329.02,48434.71,7072547.39,10551262.84,19426668.57,19479974.11,34929744.76,110226326.76,133057187.33,200362455.79,377744096.83,436480042.67
e_0,5160.57,3777.66,6645.5,9711.89,13841.79,39863.21,6117970.44,17303392.92,19693560.21,21276593.4,42576475.4,60632114.63,135268923.87,210547400.96,568354231.58,908805978.42
