,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.23,1.0,0.89,0.95,0.89,0.88,1.05,0.92,1.01,0.91,0.9,0.86,0.84,0.91,1.1
e_1,0.82,1.0,1.27,0.95,1.02,0.97,1.0,1.31,0.99,1.01,1.04,1.18,1.09,1.08,1.06,1.01
c_1,0.99,0.8,1.0,1.07,1.4,1.09,1.05,0.74,0.88,0.97,0.78,0.96,1.02,1.03,0.88,1.0
d_1,1.12,1.07,0.93,1.0,0.92,0.88,0.99,1.02,1.23,0.84,1.11,0.92,1.04,0.9,1.04,0.82
b_1,1.05,0.95,0.75,1.09,1.0,1.43,1.04,0.9,1.08,1.09,1.04,1.02,1.02,0.99,0.85,1.03
a_1,1.11,1.01,0.93,1.1,0.7,1.0,1.19,1.09,1.09,1.12,1.33,1.1,1.05,1.06,1.17,1.1
h_1,1.11,1.01,0.98,1.05,0.96,0.77,1.0,0.93,0.89,1.15,0.96,0.98,0.99,1.06,1.09,1.1
d_0,0.9,0.79,1.32,1.02,1.17,0.88,1.08,1.0,0.91,1.07,1.0,1.05,1.03,1.12,0.98,1.16
c_0,1.09,1.02,1.17,0.82,0.92,0.94,1.13,1.11,1.0,1.1,1.39,0.98,1.02,1.02,1.17,1.02
g_1,1.01,0.99,0.99,1.17,0.91,0.84,0.86,0.9,0.94,1.0,0.94,1.14,0.85,1.08,1.12,0.96
b_0,1.1,0.98,1.21,0.88,0.96,0.74,1.0,1.04,0.71,1.05,1.0,0.92,1.09,1.05,1.41,1.06
f_0,1.09,0.88,1.05,1.11,0.95,0.86,1.0,0.95,1.03,0.85,1.04,1.0,1.0,1.37,1.08,0.85
h_0,1.1,0.93,1.0,0.98,0.94,0.91,1.03,0.99,0.94,1.14,0.96,0.97,1.0,0.93,0.93,1.16
e_0,1.17,0.92,0.96,1.11,0.98,0.93,0.97,0.85,0.98,0.94,0.95,0.76,1.02,1.0,1.03,1.05
a_0,1.07,0.93,1.15,0.93,1.23,0.82,0.99,1.1,0.86,0.96,0.73,0.93,1.07,1.09,1.0,1.0
g_0,0.97,0.95,1.0,1.18,0.94,0.92,0.91,0.89,0.99,1.03,0.96,1.12,0.87,0.99,1.01,1.0
