,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.17,0.95,1.01,0.96,1.01,1.29,0.95,1.05,1.08,1.12,1.05,1.07,1.17,1.07
f_1,1.24,1.0,1.04,0.85,0.95,0.87,0.87,1.08,0.94,0.93,1.0,0.92,0.94,0.85,0.85,1.09
c_1,0.84,0.95,1.0,1.1,1.28,1.06,1.07,0.76,0.9,1.02,0.86,0.98,0.85,0.94,0.94,0.98
d_1,1.08,1.18,0.91,1.0,0.96,0.9,0.96,1.02,1.21,0.88,0.97,0.99,1.07,0.98,0.93,0.83
b_1,0.98,1.03,0.79,1.04,1.0,1.32,1.14,0.94,1.07,1.03,1.03,1.02,0.99,1.1,0.9,1.07
a_1,1.01,1.12,0.97,1.11,0.78,1.0,1.07,0.97,1.06,1.13,1.03,1.04,1.12,1.13,1.06,1.02
h_1,1.0,1.11,0.95,1.06,0.89,0.9,1.0,0.88,0.97,1.15,0.99,0.91,0.96,1.02,1.01,1.13
d_0,0.78,0.95,1.31,0.98,1.04,0.98,1.1,1.0,0.9,1.12,1.02,0.97,1.01,1.1,1.09,1.01
c_0,1.02,1.01,1.1,0.85,0.94,0.96,1.0,1.1,1.0,1.04,1.33,0.99,1.21,1.13,1.22,1.03
g_1,0.99,1.05,0.97,1.15,0.96,0.92,0.9,0.92,0.95,1.0,0.95,1.17,0.9,0.92,1.07,0.96
b_0,0.95,0.99,1.17,0.98,0.99,0.95,1.02,0.97,0.78,1.08,1.0,0.92,1.35,1.02,1.13,0.99
f_0,0.86,1.08,1.05,1.01,0.97,1.02,1.07,1.04,1.04,0.85,1.07,1.0,1.08,1.01,1.47,0.84
a_0,0.93,1.06,1.22,0.94,1.07,0.88,1.01,1.02,0.89,1.08,0.76,0.97,1.0,1.07,1.08,1.02
h_0,0.95,1.12,1.07,1.02,0.9,0.9,0.97,0.96,0.88,1.12,1.02,0.99,0.9,1.0,0.92,1.15
e_0,0.86,1.17,1.12,1.1,1.09,0.93,0.97,0.97,0.85,0.93,0.96,0.71,0.9,1.09,1.0,1.0
g_0,0.91,0.92,0.96,1.19,0.95,0.95,0.9,0.98,0.98,1.01,1.02,1.2,0.96,0.89,1.07,1.0
