,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,22.94,0.3,0.35,0.3,0.41,0.32,0.76,0.77,1.9,0.7,0.92,0.63,0.75,1.07,0.31,0.88
f_1,0.58,24.08,0.37,0.35,0.34,0.34,0.66,0.6,0.65,0.67,0.21,0.87,0.67,0.89,0.61,0.83
c_1,0.37,0.33,26.67,0.31,0.58,0.34,0.75,0.66,0.67,0.17,0.87,0.7,0.91,0.97,0.69,0.82
d_1,0.36,0.32,0.26,29.19,0.31,0.36,0.76,0.92,0.15,1.49,0.96,1.09,1.08,0.81,0.84,0.89
b_1,0.28,0.32,0.35,0.37,29.61,0.67,0.75,0.61,0.9,0.82,0.85,0.24,0.52,0.78,0.78,1.06
a_1,0.27,0.43,0.39,0.3,0.35,50.45,0.88,0.59,0.74,0.91,0.69,0.71,0.11,0.87,1.25,0.54
h_1,0.63,1.01,0.65,0.59,0.57,0.57,9.09,1.74,1.32,1.46,1.08,1.56,1.34,0.38,1.55,1.76
g_1,0.48,0.5,0.67,1.39,0.47,0.57,1.11,11.41,1.07,1.67,2.4,1.67,1.25,1.39,1.61,0.57
d_0,0.57,0.87,1.48,0.17,0.63,0.61,1.12,1.09,5.27,1.13,1.13,1.03,1.19,1.65,1.09,1.97
c_0,0.6,0.85,0.29,0.79,0.57,0.56,1.24,1.66,1.12,6.53,1.64,3.72,1.86,1.85,1.68,1.7
f_0,0.75,0.14,0.76,0.55,0.59,0.76,1.57,1.41,1.69,1.71,7.36,2.13,2.56,1.81,3.87,1.95
b_0,0.7,0.71,0.84,0.93,0.14,0.44,1.49,1.76,1.06,1.57,1.63,7.7,2.9,1.41,1.66,1.56
a_0,0.68,0.76,0.56,0.78,0.63,0.27,1.35,1.56,1.13,1.86,2.0,1.51,9.06,1.9,2.03,1.67
h_0,0.58,1.21,0.52,0.84,0.53,0.47,0.38,1.56,1.29,1.63,1.23,1.26,1.96,0.55,1.28,1.96
e_0,0.13,0.92,0.65,0.86,0.73,0.77,1.68,1.38,1.14,2.08,1.61,1.6,1.07,1.86,10.37,1.45
g_0,0.61,0.76,0.78,1.15,0.41,0.6,1.45,0.38,1.08,1.05,2.27,1.36,1.48,1.38,1.89,0.62
