,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,35.18,0.06,0.06,0.04,0.05,0.08,0.32,0.27,0.62,,0.33,0.44,0.44,0.73,0.26,0.82
f_1,0.06,36.21,0.14,0.05,0.07,0.05,0.27,0.27,0.41,0.47,0.36,,0.34,0.56,0.35,0.48
e_1,0.04,0.06,40.99,0.08,0.06,0.07,0.27,0.22,0.31,0.75,0.34,0.36,0.38,0.71,,0.62
c_1,0.06,0.09,0.07,42.79,0.13,0.08,0.25,0.35,,0.41,0.17,0.38,0.35,0.68,0.35,0.47
b_1,0.08,0.07,0.07,0.06,51.77,0.15,0.27,0.33,0.34,0.45,,0.27,0.22,0.5,0.39,0.51
a_1,0.05,0.04,0.06,0.08,0.1,72.87,0.33,0.19,0.36,0.35,0.37,0.42,,0.48,0.6,0.7
h_1,0.26,0.44,0.23,0.18,0.19,0.21,26.97,1.82,1.58,1.27,1.9,1.08,1.23,,0.99,3.12
g_1,0.38,0.17,0.13,0.28,0.2,0.27,1.31,33.68,1.15,1.29,2.19,1.98,0.96,2.8,1.72,
c_0,0.46,0.32,0.41,,0.25,0.33,1.14,1.48,18.48,2.08,3.45,1.84,2.03,2.63,1.99,2.63
d_0,,0.34,0.39,0.86,0.42,0.43,1.76,1.12,1.41,16.78,2.02,2.46,2.28,3.13,1.91,1.44
b_0,0.39,0.33,0.32,0.47,,0.3,1.92,1.62,2.09,1.95,20.61,2.02,2.62,2.35,,2.25
f_0,0.3,,0.23,0.29,0.34,0.34,1.84,1.49,2.77,1.91,1.85,22.54,1.62,1.96,5.52,4.0
a_0,0.27,0.37,0.31,0.47,0.43,,1.37,1.29,1.7,1.54,2.03,1.97,28.85,3.68,1.67,2.25
h_0,0.63,0.84,0.57,0.45,0.47,0.46,,2.37,3.37,3.18,2.37,2.69,3.84,,2.1,5.9
e_0,0.34,0.22,,0.36,0.63,0.35,1.39,1.23,1.91,2.16,2.05,2.33,,3.67,31.07,3.26
g_0,0.85,0.44,0.42,0.48,0.45,0.4,2.34,,2.69,3.26,2.54,4.7,2.77,5.39,3.47,
