,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.29,0.89,1.03,0.85,1.0,0.78,1.17,1.14,1.11,0.93,,1.0,0.91,,1.11
e_1,0.77,1.0,0.82,1.03,1.26,0.98,1.06,0.93,1.0,1.31,0.78,0.98,1.19,1.03,,0.95
d_1,1.12,1.22,1.0,0.97,0.97,0.96,0.97,0.73,1.25,,0.95,1.08,0.96,1.05,0.95,0.83
c_1,0.97,0.97,1.03,1.0,1.38,1.15,1.09,0.77,,0.81,0.89,0.91,0.93,1.18,0.87,1.05
b_1,1.18,0.8,1.03,0.72,1.0,1.21,0.96,0.92,0.95,0.9,,1.18,1.14,1.25,1.44,1.02
a_1,1.0,1.02,1.04,0.87,0.82,1.0,1.24,1.19,0.82,1.11,0.89,0.94,,1.14,,1.05
h_1,1.28,0.94,1.03,0.92,1.04,0.8,1.0,1.36,1.14,0.67,1.0,1.0,0.84,,0.79,1.13
g_1,0.86,1.08,1.37,1.3,1.08,0.84,0.74,1.0,0.77,0.97,0.96,1.41,1.12,0.75,1.03,
c_0,0.88,1.0,0.8,,1.06,1.22,0.88,1.29,1.0,1.2,1.41,0.95,1.05,0.92,0.82,0.82
d_0,0.9,0.76,,1.23,1.11,0.9,1.49,1.03,0.84,1.0,1.11,0.9,0.9,0.94,0.75,1.2
b_0,1.07,1.27,1.05,1.12,,1.13,1.0,1.04,0.71,0.9,1.0,1.09,1.18,0.97,0.94,0.89
f_0,,1.02,0.93,1.1,0.85,1.06,1.0,0.71,1.05,1.11,0.92,1.0,1.07,1.25,1.62,0.73
a_0,1.0,0.84,1.04,1.08,0.88,,1.2,0.89,0.96,1.11,0.85,0.93,1.0,1.27,,1.1
h_0,1.1,0.97,0.95,0.85,0.8,0.88,,1.33,1.08,1.07,1.03,0.8,0.79,,1.08,1.29
e_0,,,1.06,1.15,0.69,,1.27,0.97,1.22,1.33,1.07,0.62,,0.93,1.0,1.03
g_0,0.9,1.05,1.2,0.95,0.98,0.95,0.89,,1.21,0.83,1.12,1.36,0.91,0.77,0.97,
