,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.95,0.48,0.51,0.67,0.5,0.32,0.39,0.57,0.35,0.35,0.32,0.34,0.31,0.33,0.19,0.24
d_1,0.53,0.96,0.59,0.47,0.45,0.34,0.36,0.31,0.54,0.28,0.4,0.32,0.34,0.26,0.29,0.26
f_1,0.85,0.49,0.95,0.61,0.42,0.36,0.31,0.35,0.32,0.29,0.29,0.22,0.32,0.26,0.19,0.2
c_1,0.53,0.53,0.55,0.95,0.84,0.34,0.38,0.26,0.27,0.3,0.24,0.3,0.3,0.25,0.22,0.19
b_1,0.59,0.62,0.64,0.45,0.94,0.7,0.4,0.36,0.35,0.33,0.26,0.31,0.35,0.3,0.23,0.2
a_1,0.71,0.68,0.71,0.68,0.39,0.94,0.49,0.45,0.4,0.4,0.43,0.42,0.37,0.35,0.28,0.23
h_1,0.82,0.88,1.07,0.79,0.68,0.51,0.79,0.5,0.47,0.58,0.47,0.44,0.39,0.5,0.33,0.35
d_0,0.74,0.62,0.94,1.43,0.88,0.55,0.64,0.72,0.39,0.51,0.51,0.45,0.46,0.39,0.33,0.38
c_0,0.92,0.9,0.96,0.84,0.69,0.58,0.59,0.65,0.72,0.46,0.8,0.54,0.52,0.48,0.4,0.45
g_1,0.66,1.2,0.79,0.89,0.81,0.52,0.55,0.51,0.59,0.77,0.55,0.66,0.44,0.39,0.43,0.34
b_0,0.89,0.93,1.09,1.0,0.69,0.48,0.67,0.55,0.52,0.48,0.73,0.5,0.57,0.53,0.35,0.63
f_0,0.82,1.08,0.8,0.96,0.84,0.61,0.67,0.65,0.62,0.49,0.62,0.69,0.57,0.5,0.63,0.4
h_0,1.03,1.02,1.22,1.02,0.77,0.6,0.59,0.68,0.57,0.69,0.55,0.56,0.47,0.61,0.36,0.37
g_0,0.91,1.47,0.97,1.07,0.86,0.64,0.65,0.61,0.66,0.6,0.52,0.76,0.52,0.44,0.42,0.4
e_0,0.73,1.1,1.18,1.06,0.99,0.7,0.78,0.62,0.69,0.54,0.68,0.55,0.69,0.58,0.67,0.47
a_0,0.94,1.06,1.09,1.26,0.95,0.66,0.7,0.68,0.64,0.65,0.56,0.59,0.68,0.54,0.44,0.63
