,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.51,0.66,0.84,0.58,0.6,0.54,0.83,1.37,0.8,0.79,0.86,0.76,0.88,0.75,0.84,0.48
f_1,1.05,1.53,0.67,0.62,0.62,0.58,0.7,0.72,0.57,0.78,0.4,0.66,0.69,0.55,0.71,0.51
c_1,0.65,0.67,1.55,0.73,1.04,0.55,0.72,0.7,0.67,0.4,0.8,0.61,0.97,0.65,0.86,0.64
d_1,0.7,0.84,0.57,1.57,0.62,0.5,0.83,0.63,0.72,1.29,0.79,0.91,0.96,0.63,0.84,0.64
b_1,0.71,0.67,0.57,0.69,1.6,1.08,0.84,0.73,0.82,0.74,0.91,0.54,0.92,0.63,0.68,0.62
a_1,0.7,0.75,0.78,0.91,0.6,1.72,0.84,0.88,0.82,0.86,0.99,0.98,0.92,0.46,0.87,1.0
h_1,0.81,1.16,0.97,0.95,0.78,0.72,1.71,0.99,1.2,0.95,0.96,0.9,0.73,0.9,1.19,0.84
d_0,0.84,0.95,1.64,0.53,0.93,0.63,1.09,1.57,0.9,0.79,0.96,0.91,1.19,0.95,1.04,0.94
g_1,0.87,0.94,0.98,1.24,0.76,0.72,1.04,1.08,1.79,0.98,1.36,0.9,1.07,0.97,0.73,0.73
c_0,1.06,1.01,0.77,0.89,0.82,0.66,1.27,1.31,1.1,1.63,1.17,1.71,1.16,1.07,1.17,0.94
f_0,0.91,0.94,1.04,1.03,0.93,0.66,1.3,1.17,0.99,1.09,1.62,1.14,1.28,0.99,1.09,1.73
b_0,1.04,1.16,0.98,0.86,0.71,0.54,1.32,1.4,1.09,1.0,1.1,1.73,1.23,1.72,1.06,0.99
h_0,0.96,1.38,0.84,1.02,0.93,0.75,1.05,1.1,1.29,1.22,0.97,1.1,0.95,1.0,1.48,0.91
a_0,1.12,1.15,1.14,0.96,0.95,0.55,1.24,1.3,0.88,1.05,1.15,1.06,1.22,1.79,1.22,1.03
g_0,1.02,0.95,0.9,1.39,1.03,0.72,1.17,1.2,0.87,1.27,1.61,1.17,1.1,1.02,1.06,1.08
e_0,0.77,1.11,1.14,1.13,1.09,0.6,1.36,1.22,1.29,1.33,0.89,1.16,1.42,1.14,1.23,1.76
