,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,5.72,3.72,2.09,2.07,1.95,1.81,7.79,9.97,7.43,9.66,6.22,10.12,14.78,7.92,9.1,13.73
e_1,2.39,5.81,2.75,1.98,2.1,2.18,8.48,17.5,8.23,10.43,10.91,10.49,16.86,8.93,11.63,13.35
c_1,2.34,1.69,6.69,2.15,4.27,2.44,7.46,8.39,7.71,4.99,9.5,7.32,14.51,9.58,10.46,16.95
d_1,2.14,2.22,1.66,6.9,2.03,2.32,8.77,6.76,9.27,20.65,12.9,12.89,15.39,12.78,11.03,16.74
b_1,2.26,2.03,2.32,2.03,8.0,4.57,7.8,10.92,7.89,8.57,9.6,5.79,16.07,11.01,10.26,16.92
a_1,2.34,2.07,2.69,2.42,2.23,10.48,7.94,10.9,7.15,9.21,9.95,9.78,16.46,11.89,8.24,15.66
h_1,3.18,2.34,2.86,2.41,2.21,1.99,18.65,9.51,11.99,10.79,10.55,12.43,11.86,10.44,11.0,21.54
d_0,2.53,2.2,4.2,1.69,2.68,2.47,9.69,17.24,8.0,9.12,12.92,11.08,15.68,10.59,10.83,19.88
g_1,2.33,2.16,2.16,3.9,2.23,2.06,8.9,9.18,21.96,10.97,17.86,12.47,16.84,14.6,15.06,13.74
c_0,2.49,2.74,1.82,2.65,2.05,2.16,9.9,11.1,11.69,19.67,13.23,23.97,18.15,16.4,16.45,19.15
f_0,1.8,1.77,2.63,2.77,2.9,2.99,10.49,11.95,9.41,14.04,21.41,12.82,17.67,30.25,12.54,21.51
b_0,2.73,2.6,2.73,2.73,1.76,2.03,9.84,10.12,11.12,10.65,11.3,22.38,18.15,13.97,25.35,21.52
h_0,3.28,2.29,2.43,2.45,2.45,2.51,7.63,11.18,11.42,10.47,10.92,12.53,14.23,14.47,12.97,22.65
e_0,2.17,1.84,2.85,2.66,2.93,2.39,11.14,12.79,10.47,11.79,13.34,14.48,20.63,30.32,16.5,23.52
a_0,3.11,2.29,2.67,2.58,2.47,1.54,8.98,11.23,8.8,11.15,12.06,12.23,20.69,13.71,30.1,20.16
g_0,1.58,2.26,2.46,3.78,2.76,2.59,9.26,8.52,7.4,12.88,18.61,13.4,17.65,15.88,11.7,15.91
