,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.24,0.67,0.45,0.7,0.4,0.47,1.0,2.4,0.94,1.11,1.38,1.16,1.11,1.71,1.41,0.62
f_1,1.04,2.25,0.52,0.53,0.44,0.35,1.15,1.04,0.86,1.22,0.94,0.41,0.89,1.31,1.08,0.56
d_1,0.62,0.69,2.4,0.38,0.46,0.41,1.12,0.59,0.84,2.15,1.26,1.18,1.07,1.5,1.54,1.14
c_1,0.54,0.61,0.58,2.46,0.92,0.38,1.01,1.06,0.95,0.46,0.89,0.97,0.81,1.15,0.95,0.96
b_1,0.53,0.54,0.64,0.52,2.78,0.91,1.06,0.95,0.88,0.87,0.42,1.22,0.79,1.45,1.15,1.15
a_1,0.59,0.63,0.63,0.58,0.4,3.12,1.13,1.19,0.86,1.33,1.15,1.22,0.38,1.63,1.96,0.98
h_1,0.72,1.02,0.77,0.64,0.59,0.46,2.99,1.24,1.31,1.3,1.21,1.25,1.08,1.11,1.89,1.21
d_0,0.62,0.78,0.42,1.31,0.63,0.5,1.24,2.6,1.12,0.93,1.38,1.31,1.2,1.67,1.62,1.15
g_1,0.63,0.51,1.14,0.69,0.52,0.46,1.25,1.16,3.48,1.52,1.45,2.28,1.27,1.33,1.15,1.37
c_0,0.87,0.74,0.69,0.52,0.46,0.56,1.27,1.76,1.02,2.72,2.49,1.51,1.22,2.02,2.23,1.14
b_0,0.72,0.91,0.75,0.82,0.29,0.33,1.36,1.6,1.14,1.33,2.87,1.45,2.61,1.52,1.82,1.22
f_0,0.61,0.44,0.85,0.8,0.62,0.53,1.43,1.52,1.19,1.4,1.47,3.09,1.44,1.92,1.94,2.75
a_0,0.68,0.81,0.91,0.92,0.63,0.23,1.38,1.61,1.09,1.23,1.36,1.35,3.17,1.83,1.57,1.35
h_0,0.71,1.05,0.75,0.67,0.46,0.55,0.93,1.59,1.53,1.18,1.31,1.25,1.33,1.04,2.27,1.01
g_0,0.67,0.67,1.15,0.73,0.53,0.4,1.41,1.35,0.64,1.23,1.57,2.08,1.45,1.81,1.18,1.19
e_0,0.38,0.94,0.8,0.76,0.71,0.5,1.38,1.42,1.23,1.46,1.43,1.38,1.24,1.98,1.7,3.09
