,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.47,0.23,0.18,0.13,0.14,0.12,0.18,0.17,0.24,0.21,0.18,,0.22,0.15,0.16,0.22
e_1,0.16,1.49,0.14,0.13,0.18,0.13,0.19,0.14,0.3,0.21,0.19,0.25,0.2,0.18,,0.19
d_1,0.15,0.17,1.53,0.19,0.18,0.12,0.21,0.17,,0.27,0.2,0.15,0.27,0.18,0.17,0.21
c_1,0.21,0.2,0.17,1.56,0.22,0.1,0.24,0.17,0.16,,0.19,0.18,0.24,0.16,0.17,0.2
b_1,0.18,0.19,0.15,0.17,1.6,0.24,0.2,0.23,0.19,0.21,,0.21,0.23,0.13,0.17,0.18
a_1,0.18,0.21,0.25,0.2,0.13,1.75,0.23,,0.23,0.28,0.16,,0.24,,,0.24
h_1,0.53,0.33,0.43,0.34,0.38,0.28,1.61,0.54,0.38,0.46,0.45,0.35,,0.45,0.29,0.65
g_1,0.37,0.4,0.58,0.36,0.24,,0.46,1.71,0.39,0.46,0.41,0.63,0.54,0.31,0.46,
d_0,0.43,0.48,,0.77,0.47,0.35,0.64,0.49,1.41,0.47,0.55,0.51,0.58,0.49,0.41,0.51
c_0,0.43,0.5,0.35,,0.42,0.34,0.63,0.47,0.72,1.43,0.8,0.59,0.63,0.41,0.41,0.56
b_0,0.58,0.5,0.44,0.43,,0.4,0.62,0.51,0.58,0.5,1.47,0.53,0.53,0.76,0.42,0.5
f_0,,0.33,0.58,0.46,0.47,,0.66,0.49,0.59,0.56,0.59,1.5,0.65,0.57,0.8,0.31
h_0,0.81,0.64,0.53,0.53,0.47,0.49,,0.82,0.82,0.55,0.69,0.54,,0.59,0.66,0.81
a_0,0.73,0.53,0.39,0.47,0.52,,0.5,0.7,0.54,0.61,0.49,0.49,0.66,1.61,,
e_0,0.53,,0.41,0.48,0.42,,0.73,0.6,0.64,0.74,0.55,0.53,0.6,,1.65,0.67
g_0,0.5,0.63,0.83,0.58,0.66,0.43,0.52,,0.67,0.83,0.67,1.1,0.89,,0.49,
