,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.12,2.46,4.76,4.99,4.58,4.38,1.39,1.18,0.94,0.84,1.01,1.04,0.69,2.39,0.8,1.0
f_1,4.22,1.12,3.8,4.04,4.68,4.29,0.86,1.37,0.84,0.93,1.48,0.99,0.54,0.83,0.83,0.78
d_1,5.9,5.1,1.11,5.24,4.93,3.69,1.38,0.85,2.2,0.78,0.99,0.81,0.59,0.86,0.42,0.73
c_1,3.66,5.6,6.01,1.13,5.24,5.02,1.37,1.73,0.54,1.98,0.85,1.04,0.68,0.81,0.68,1.03
b_1,6.0,7.38,6.51,3.12,1.13,5.85,2.1,2.5,1.27,1.59,1.25,2.54,1.03,1.21,0.95,1.37
a_1,9.88,8.3,7.48,7.59,3.95,1.14,2.43,1.96,1.59,1.65,1.85,2.18,1.03,1.54,1.26,3.99
h_1,15.31,16.12,14.67,14.55,13.08,13.22,1.72,4.05,3.71,3.25,3.2,3.04,3.63,2.91,2.1,2.51
g_1,18.65,20.13,19.42,21.97,19.01,16.21,3.88,1.78,4.22,3.74,4.74,3.83,2.16,3.69,4.03,3.86
d_0,10.62,20.13,33.93,19.64,20.97,21.39,5.55,6.36,2.39,4.19,3.79,4.54,2.76,5.05,3.59,4.5
c_0,21.74,19.08,10.37,40.28,21.66,19.04,6.12,4.95,6.37,2.26,4.31,3.96,3.05,3.66,2.87,5.24
f_0,19.24,36.44,21.13,23.62,22.02,20.54,6.87,4.02,4.61,3.85,2.21,4.58,3.46,4.17,1.87,4.08
b_0,19.86,21.95,18.87,30.8,48.93,25.94,6.21,5.91,5.37,2.47,4.21,2.14,3.14,4.41,3.52,4.13
h_0,27.42,28.92,23.99,27.56,31.83,23.31,12.89,9.82,6.13,6.57,6.32,5.88,6.41,5.26,4.43,5.4
e_0,53.25,43.9,30.82,34.15,23.38,34.58,7.69,8.25,7.14,5.28,3.2,5.53,5.74,2.48,3.36,7.02
g_0,30.11,40.04,33.26,35.3,36.19,34.02,8.82,13.36,7.22,7.07,6.69,6.5,3.76,6.74,6.08,7.02
a_0,34.02,37.57,35.73,33.78,38.85,79.81,11.32,8.79,8.67,6.07,7.59,3.21,4.69,8.53,5.44,2.47
