,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.94,0.26,0.24,0.32,0.25,0.18,0.18,0.32,0.16,0.16,0.15,0.15,0.16,0.09,0.12,0.13
f_1,0.47,0.94,0.26,0.27,0.27,0.17,0.17,0.16,0.14,0.16,0.17,0.06,0.14,0.1,0.11,0.11
d_1,0.32,0.31,0.94,0.23,0.26,0.16,0.2,0.1,0.14,0.3,0.19,0.18,0.17,0.14,0.11,0.1
c_1,0.27,0.3,0.32,0.94,0.41,0.21,0.21,0.13,0.17,0.07,0.16,0.17,0.16,0.1,0.12,0.14
b_1,0.36,0.29,0.29,0.23,0.94,0.35,0.19,0.21,0.17,0.14,0.07,0.19,0.22,0.11,0.1,0.14
a_1,0.34,0.42,0.38,0.29,0.2,0.93,0.22,0.25,0.16,0.29,0.21,0.17,0.2,0.16,,0.19
h_1,0.53,0.79,0.55,0.54,0.5,0.31,0.72,0.38,0.38,0.3,0.31,0.23,0.14,0.18,0.19,0.25
d_0,0.55,0.65,0.27,0.99,0.52,0.29,0.35,0.61,0.33,0.34,0.29,0.35,0.26,0.2,0.23,0.23
g_1,0.59,0.56,0.81,0.53,0.5,0.37,0.29,0.33,0.72,0.33,0.3,0.44,0.29,0.27,0.26,0.13
c_0,0.68,0.77,0.6,0.45,0.46,0.27,0.45,0.33,0.34,0.62,0.55,0.31,0.32,0.27,0.25,0.28
b_0,0.85,0.7,0.63,0.55,0.23,0.28,0.4,0.39,0.36,0.35,0.61,0.33,0.35,0.29,0.43,0.28
f_0,0.79,0.56,0.55,0.54,0.51,0.43,0.47,0.4,0.38,0.44,0.4,0.61,0.36,0.44,0.19,0.29
h_0,0.74,0.9,0.69,0.6,0.41,0.34,0.33,0.45,0.46,0.4,0.38,0.32,0.25,0.3,0.22,0.4
e_0,0.34,1.03,0.64,0.86,0.57,0.35,0.58,0.47,0.36,0.48,0.37,0.37,0.36,0.6,0.26,0.3
a_0,0.71,0.87,0.8,0.74,0.45,,0.52,0.43,0.48,0.38,0.36,0.34,0.41,0.37,0.59,0.33
g_0,0.6,0.72,0.96,0.83,0.64,0.31,0.44,0.43,,0.42,0.33,0.49,0.32,0.29,0.23,0.19
