,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,2.52,1.76,1.69,1.46,1.67,1.6,3.13,3.08,5.27,4.42,3.45,3.74,4.55,3.82,3.73,4.38
f_1,1.6,2.53,2.39,1.67,1.57,1.62,3.1,2.97,3.02,3.38,3.91,2.88,3.86,3.55,2.86,4.15
e_1,1.42,1.55,2.52,2.11,1.72,1.6,3.26,3.38,3.34,3.41,5.63,3.91,4.73,3.56,3.51,4.47
c_1,1.8,1.65,1.41,2.65,2.63,1.73,3.3,3.18,2.79,2.84,2.97,3.82,4.12,3.65,3.55,4.4
b_1,1.75,1.73,1.64,1.49,2.8,2.79,3.17,3.0,3.59,3.13,2.86,3.6,4.59,3.35,3.76,4.78
a_1,1.73,1.85,1.72,1.74,1.34,3.18,3.5,3.44,3.68,4.44,3.98,3.48,5.03,3.84,4.07,4.76
h_1,1.88,2.1,1.64,1.68,1.67,1.66,4.33,3.88,3.28,3.56,3.09,3.75,3.98,3.8,3.58,5.69
g_1,2.22,1.72,1.47,1.63,1.68,1.58,2.98,4.64,3.97,3.7,3.14,5.11,4.7,3.61,4.27,4.21
c_0,1.62,1.88,1.7,1.79,1.43,1.69,3.45,3.4,4.45,5.94,4.3,4.23,5.3,5.08,4.21,5.35
b_0,1.66,1.91,1.8,1.99,1.58,1.41,3.65,3.49,3.11,4.66,4.11,4.09,4.89,5.72,4.22,4.81
d_0,1.31,1.64,1.45,2.73,2.17,1.49,3.74,3.52,2.85,3.38,4.62,4.23,4.42,3.8,4.33,4.68
f_0,1.88,1.72,1.38,1.91,1.84,1.78,3.39,3.28,3.69,4.26,3.66,5.01,5.09,3.74,6.87,4.76
h_0,1.88,1.95,1.59,1.86,1.73,1.49,3.13,4.07,3.48,3.89,3.65,4.13,4.18,3.69,4.44,5.75
a_0,1.88,1.76,1.69,1.92,1.85,1.36,3.48,3.4,3.37,3.43,3.86,4.32,5.33,5.31,3.66,5.53
e_0,1.98,1.97,1.43,2.02,1.79,1.57,3.55,3.47,3.59,4.19,3.26,3.16,5.06,4.51,5.54,5.53
g_0,2.23,1.59,1.58,1.79,1.72,1.63,3.33,3.12,3.46,3.82,3.25,4.94,4.17,3.44,3.91,4.26
