,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.9,0.24,0.27,0.16,0.17,0.12,0.19,0.41,0.16,0.19,0.19,0.15,0.19,0.14,0.16,0.06
f_1,0.39,0.9,0.19,0.19,0.16,0.13,0.18,0.17,0.12,0.18,0.07,0.14,0.17,0.1,0.14,0.07
c_1,0.22,0.2,0.89,0.2,0.32,0.13,0.17,0.21,0.14,0.07,0.18,0.12,0.21,0.11,0.16,0.11
d_1,0.21,0.27,0.16,0.9,0.17,0.12,0.22,0.11,0.17,0.36,0.18,0.19,0.22,0.11,0.2,0.1
b_1,0.21,0.2,0.19,0.2,0.88,0.3,0.2,0.17,0.17,0.16,0.19,0.09,0.2,0.1,0.13,0.1
a_1,0.21,0.22,0.21,0.26,0.2,0.88,0.19,0.2,0.17,0.18,0.2,0.17,0.18,0.06,0.15,0.14
h_1,0.24,0.37,0.26,0.28,0.2,0.16,0.57,0.21,0.26,0.21,0.21,0.18,0.15,0.16,0.23,0.14
d_0,0.29,0.25,0.54,0.12,0.23,0.13,0.25,0.45,0.17,0.13,0.21,0.19,0.22,0.16,0.18,0.15
g_1,0.27,0.24,0.26,0.39,0.18,0.15,0.26,0.23,0.56,0.21,0.33,0.17,0.22,0.14,0.11,0.12
c_0,0.32,0.31,0.14,0.29,0.18,0.14,0.3,0.28,0.21,0.46,0.24,0.41,0.24,0.17,0.21,0.14
f_0,0.24,0.2,0.29,0.27,0.25,0.14,0.29,0.26,0.21,0.23,0.42,0.24,0.25,0.16,0.21,0.28
b_0,0.31,0.32,0.24,0.23,0.13,0.1,0.3,0.33,0.2,0.27,0.21,0.47,0.26,0.34,0.19,0.15
h_0,0.26,0.39,0.22,0.27,0.23,0.14,0.19,0.23,0.24,0.24,0.19,0.21,0.16,0.15,0.26,0.13
a_0,0.31,0.28,0.29,0.24,0.23,0.09,0.28,0.28,0.18,0.22,0.21,0.23,0.24,0.41,0.19,0.15
g_0,0.26,0.23,0.21,0.4,0.23,0.12,0.27,0.24,0.14,0.25,0.35,0.22,0.21,0.14,0.15,0.17
e_0,0.2,0.28,0.3,0.3,0.26,0.12,0.29,0.26,0.23,0.25,0.19,0.21,0.27,0.17,0.22,0.38
