,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.98,1.0,0.97,0.98,0.65,0.63,0.63,0.61,0.65,,0.44,0.69,0.57,0.79
e_1,0.85,1.0,0.85,1.06,0.94,0.88,0.71,0.74,0.55,0.85,0.61,0.66,0.61,0.5,,0.59
d_1,1.02,1.18,1.0,0.89,0.8,0.75,0.77,0.9,0.43,,0.74,0.64,0.61,0.54,0.59,0.56
c_1,1.0,0.95,1.12,1.0,1.9,0.87,0.74,,0.62,0.44,0.65,0.66,0.62,0.58,0.43,0.79
b_1,1.03,1.06,1.25,0.53,1.0,1.41,0.87,0.66,0.67,0.71,,0.55,0.87,0.66,0.57,0.54
a_1,1.02,1.13,1.33,1.16,0.71,1.0,0.77,0.81,0.68,0.75,0.7,0.88,0.89,,,0.66
h_1,1.54,1.41,1.31,1.34,1.15,1.29,1.0,0.88,1.29,0.73,0.9,0.86,,0.83,0.91,0.86
c_0,1.6,1.34,1.11,,1.52,1.24,1.13,1.0,0.9,1.16,1.32,0.93,1.0,0.88,0.93,0.72
g_1,1.6,1.83,2.35,1.61,1.5,1.48,0.78,1.12,1.0,0.75,0.83,1.11,0.55,0.84,,
d_0,1.63,1.18,,2.29,1.4,1.34,1.37,0.86,1.33,1.0,1.1,0.86,0.8,0.78,0.71,0.73
b_0,1.54,1.64,1.35,1.54,,1.44,1.11,0.76,1.21,0.91,1.0,0.92,1.4,1.55,0.8,0.75
f_0,,1.5,1.56,1.52,1.83,1.14,1.17,1.07,0.9,1.16,1.09,1.0,1.05,1.25,1.43,0.61
h_0,2.27,1.64,1.63,1.62,1.15,1.13,,1.0,1.83,1.24,0.71,0.95,,0.72,,1.03
a_0,1.45,2.01,1.84,1.73,1.51,,1.21,1.14,1.2,1.28,0.64,0.8,1.39,1.0,,1.19
e_0,1.75,,1.69,2.34,1.76,,1.1,1.08,,1.41,1.26,0.7,,,1.0,
g_0,1.27,1.71,1.78,1.26,1.87,1.51,1.17,1.39,,1.37,1.33,1.64,0.97,0.84,,
