,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.2,1.13,1.49,2.13,3.92,17.6,31.77,29.42,35.46,35.85,43.59,67.67,82.48,125.64,106.99
e_1,0.84,1.0,1.09,1.68,2.25,3.94,19.52,33.91,32.21,45.46,40.15,52.63,80.18,96.4,126.34,122.61
d_1,0.87,0.92,1.0,1.09,1.61,3.04,15.83,22.72,36.04,27.67,37.81,39.85,65.77,74.65,83.88,95.94
c_1,0.66,0.59,0.92,1.0,2.13,2.94,13.37,21.24,20.73,17.63,23.97,32.37,54.36,62.55,80.86,83.2
b_1,0.47,0.44,0.61,0.48,1.0,2.61,8.49,13.9,17.45,13.92,18.74,20.01,39.48,36.11,66.0,58.45
a_1,0.26,0.25,0.32,0.33,0.39,1.0,4.76,7.45,8.66,7.63,11.89,10.88,20.79,20.76,33.49,30.47
h_1,0.06,0.05,0.07,0.08,0.12,0.2,1.0,1.89,1.6,1.74,2.05,2.46,4.27,4.19,7.46,6.56
g_1,0.03,0.03,0.04,0.05,0.07,0.13,0.51,1.0,1.06,0.95,1.19,1.73,2.26,2.67,3.59,4.49
c_0,0.03,0.03,0.03,0.05,0.06,0.12,0.62,0.98,1.0,1.11,1.6,1.49,2.52,2.99,3.58,3.86
d_0,0.03,0.02,0.03,0.06,0.07,0.12,0.57,1.01,0.9,1.0,1.1,1.47,2.42,2.29,3.52,3.64
b_0,0.03,0.03,0.02,0.04,0.05,0.08,0.5,0.86,0.63,0.95,1.0,1.24,2.12,3.45,3.18,3.16
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.42,0.59,0.66,0.7,0.83,1.0,1.64,1.85,2.05,3.58
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.25,0.45,0.4,0.42,0.45,0.59,1.0,1.09,1.71,1.4
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.23,0.35,0.34,0.42,0.31,0.56,0.9,1.0,1.37,1.54
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.28,0.27,0.28,0.32,0.48,0.6,0.74,1.0,1.0
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.22,0.24,0.28,0.32,0.29,0.69,0.71,1.04,1.0
