,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,114.35,57.91,40.89,50.94,67.43,133.47,5020.27,8503.06,8753.43,9277.54,13716.55,9084.66,37891.12,51673.38,47667.56,103207.23
e_1,31.87,115.74,47.18,52.21,59.8,166.08,5033.98,8643.09,16080.26,9579.58,12408.66,22316.89,43699.44,68386.02,28760.33,119368.54
d_1,37.75,29.24,149.71,38.34,54.4,130.46,4720.33,13574.2,3788.34,6609.08,12192.86,18780.54,42561.03,62602.41,59550.39,100856.71
c_1,31.64,31.54,45.43,156.92,94.81,117.8,3808.6,3464.84,7385.82,7277.7,8412.75,19336.17,36784.23,49609.63,53595.59,73530.62
b_1,30.36,30.37,46.93,34.2,184.92,219.91,3926.73,6931.5,8822.65,8047.26,4649.82,14179.8,26379.69,55251.6,45210.8,98125.31
a_1,25.94,17.04,32.59,36.45,30.15,400.52,3489.92,5652.61,6072.28,5022.98,7511.86,10810.32,11705.09,44469.59,43112.74,74079.38
h_1,13.55,11.72,14.14,18.13,15.9,47.9,3115.81,3077.29,2937.0,3655.88,4157.61,6784.54,15796.75,14834.65,20712.94,41578.66
c_0,11.26,10.38,13.42,10.04,16.16,39.46,1362.03,3944.78,2474.99,2513.64,5541.92,4725.09,15672.05,17475.74,17733.38,31012.83
d_0,10.07,8.53,8.73,25.12,16.1,38.1,1216.76,1948.6,4206.9,2346.99,3335.69,5545.94,9519.09,15970.51,18765.1,27876.8
g_1,7.24,7.89,20.23,15.24,14.92,43.4,943.15,2187.05,2245.21,5014.73,3063.39,6826.43,12010.6,17572.61,15355.69,20098.17
b_0,8.27,9.14,13.38,15.45,8.39,39.24,1203.48,1961.04,2318.63,2471.39,5171.25,5363.07,18665.97,17055.93,14080.97,28097.09
f_0,4.41,7.02,10.52,12.74,16.28,38.14,1124.89,2036.11,1861.3,1646.95,2385.11,7354.58,8599.38,14495.76,24380.96,23725.81
a_0,7.38,5.33,8.99,7.73,11.74,18.86,909.0,1529.44,1977.95,1350.51,1637.46,3045.44,13713.07,12694.48,10930.47,20717.86
h_0,6.86,5.28,7.69,8.66,8.01,25.42,405.57,1397.87,1598.4,1436.46,1982.6,2864.1,5961.62,6442.6,9743.53,20246.13
e_0,6.21,2.86,6.45,7.44,11.08,22.77,874.48,1557.08,1230.41,1448.56,1947.26,2482.7,6648.5,11625.02,18911.05,18273.46
g_0,4.11,4.28,8.08,8.55,6.55,21.08,662.97,1073.72,1037.91,779.03,1557.81,3186.13,4810.34,6574.57,7702.94,9192.62
