,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.21,0.06,0.03,0.03,0.03,0.02,0.05,0.06,0.03,0.04,0.06,,0.09,0.05,0.05,0.07
e_1,0.03,2.24,0.03,0.02,0.03,0.02,0.05,0.12,0.06,0.06,0.06,0.04,0.09,0.03,,0.05
c_1,0.02,0.03,2.33,0.03,0.05,0.03,0.07,0.07,0.04,,0.04,0.06,0.07,0.06,0.04,0.07
d_1,0.03,0.03,0.02,2.37,0.03,0.02,0.06,,0.05,0.13,0.05,0.05,0.09,0.05,0.05,0.07
b_1,0.02,0.03,0.03,0.02,2.5,0.04,0.07,0.08,0.04,0.05,,0.08,0.09,0.03,0.07,0.04
a_1,0.04,0.04,0.03,0.02,0.02,3.09,0.04,0.06,,0.05,,0.06,0.09,,,0.07
h_1,0.18,0.12,0.12,0.12,0.07,0.07,2.73,0.2,0.24,0.24,0.17,0.16,,0.17,0.23,0.35
d_0,0.17,0.15,0.23,,0.16,0.12,0.31,1.97,0.18,0.27,0.36,0.2,0.3,0.23,0.16,0.39
g_1,0.11,0.1,0.11,0.2,0.09,,0.15,0.21,3.08,0.29,0.17,0.3,0.2,0.2,0.2,
c_0,0.18,0.07,,0.11,0.1,0.11,0.24,0.45,0.23,2.13,0.68,0.25,0.46,0.25,0.19,0.27
b_0,0.14,0.14,0.13,0.13,,,0.3,0.3,0.23,0.46,2.34,0.25,0.44,0.36,0.26,0.26
f_0,,0.12,0.17,0.14,0.12,0.11,0.27,0.35,0.26,0.26,0.21,2.39,0.42,0.25,0.45,0.39
h_0,0.25,0.21,0.14,0.27,0.22,0.17,,0.52,0.43,0.43,0.37,0.51,,0.34,0.27,0.9
a_0,0.16,0.14,0.14,0.14,0.09,,0.28,0.36,0.24,0.21,0.27,0.28,0.42,2.65,,0.32
e_0,0.15,,0.14,0.14,0.14,,0.26,0.3,0.26,0.37,0.33,0.27,0.42,,2.67,0.46
g_0,0.21,0.2,0.26,0.31,0.23,0.15,0.38,0.31,,0.39,0.32,0.63,0.7,0.34,0.36,
