,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,0.85,0.83,0.93,0.92,0.78,0.19,0.29,0.17,0.17,0.17,0.23,0.09,0.14,0.15,0.14
e_1,0.61,0.43,0.92,0.95,0.99,0.92,0.27,0.29,0.17,0.2,0.19,0.23,0.12,0.18,0.25,0.14
d_1,1.01,1.12,0.4,0.97,0.96,0.78,0.28,0.17,0.18,0.28,0.18,0.18,0.13,0.18,0.17,0.08
c_1,1.0,0.8,1.2,0.4,0.88,0.96,0.27,0.31,0.26,0.12,0.21,0.22,0.16,0.19,0.2,0.14
b_1,1.11,1.0,1.18,0.6,0.38,1.08,0.34,0.32,0.31,0.21,0.37,0.25,0.16,0.2,0.26,0.15
a_1,1.52,1.47,1.3,1.08,0.69,0.31,0.39,0.37,0.32,0.31,0.32,0.25,0.2,0.38,0.32,0.23
h_1,1.86,1.95,1.69,1.88,1.68,1.36,0.28,0.55,0.35,0.37,0.34,0.34,0.39,0.3,0.33,0.26
g_1,2.17,2.51,1.7,1.84,1.87,1.53,0.42,0.26,0.43,0.48,0.39,0.42,0.24,0.41,0.34,0.31
c_0,2.25,2.36,1.21,2.53,2.15,1.71,0.52,0.46,0.29,0.61,0.43,0.44,0.33,0.39,0.46,0.25
d_0,2.03,1.31,2.36,2.37,2.17,1.91,0.64,0.85,0.44,0.31,0.46,0.42,0.34,0.41,0.39,0.29
b_0,2.42,2.38,1.77,2.36,2.4,1.68,0.57,0.45,0.25,0.45,0.28,0.41,0.32,0.4,0.4,0.27
f_0,2.79,2.35,2.03,2.36,2.3,1.95,0.64,0.4,0.42,0.57,0.49,0.25,0.36,0.52,0.41,0.21
h_0,2.77,2.36,2.35,2.39,2.28,2.27,0.74,0.68,0.47,0.48,0.52,0.5,0.4,0.43,0.5,0.32
a_0,2.8,2.39,2.19,2.93,3.34,2.76,0.67,0.64,0.41,0.52,0.32,0.61,0.37,0.28,0.43,0.28
e_0,3.79,3.13,2.74,2.33,2.89,2.08,0.7,0.61,0.53,0.59,0.52,0.25,0.4,0.66,0.24,0.29
g_0,2.85,2.7,2.74,3.16,2.91,2.54,0.69,0.81,0.55,0.6,0.54,0.55,0.34,0.5,0.6,0.44
