,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.45,0.97,1.62,1.86,1.84,1.69,0.51,0.41,0.55,0.3,0.35,0.41,0.42,0.25,0.27,0.78
f_1,1.52,0.44,1.44,1.65,1.85,1.57,0.36,0.35,0.67,0.33,0.3,0.67,0.34,0.17,0.27,0.26
d_1,2.18,1.95,0.42,1.69,1.56,1.58,0.44,0.75,0.3,0.37,0.36,0.33,0.31,0.24,0.16,0.31
c_1,1.42,1.86,2.54,0.41,1.97,1.67,0.56,0.2,0.5,0.68,0.34,0.33,0.32,0.28,0.24,0.31
b_1,2.48,2.26,2.13,1.1,0.36,2.49,0.58,0.42,0.66,0.51,1.2,0.5,0.43,0.43,0.34,0.41
a_1,2.16,2.87,2.45,2.65,1.12,0.32,0.75,0.53,0.76,0.47,0.74,0.54,1.36,0.31,0.44,0.5
h_1,2.8,2.6,2.6,2.61,2.75,2.45,0.33,0.61,0.8,0.54,0.54,0.53,0.56,0.58,0.39,0.51
d_0,1.67,3.46,5.38,3.7,4.3,3.15,1.08,0.38,1.07,0.56,0.68,0.65,0.65,0.43,0.5,0.64
g_1,3.04,3.19,3.63,3.1,3.2,3.2,0.75,0.66,0.29,0.77,0.68,0.69,0.68,0.35,0.84,0.64
c_0,3.61,3.04,1.77,6.4,3.99,2.84,1.05,1.11,0.87,0.37,0.73,0.74,0.78,0.59,0.53,0.58
b_0,2.88,4.13,2.91,4.02,7.42,2.91,1.07,0.77,0.87,0.4,0.35,0.63,0.74,0.55,0.42,0.7
f_0,3.31,8.24,2.92,3.44,3.16,2.94,1.02,0.74,0.52,0.64,0.72,0.32,0.72,0.54,0.33,0.71
a_0,3.38,4.11,3.18,4.6,4.99,8.41,1.23,0.9,1.0,0.78,0.4,0.66,0.32,0.53,0.49,0.84
h_0,3.35,4.05,3.59,4.6,3.82,3.38,1.73,0.92,1.42,0.71,0.89,0.8,0.76,0.96,0.57,0.75
g_0,4.09,5.15,3.78,5.6,4.61,2.88,1.02,0.89,1.54,0.65,0.77,0.73,0.95,0.43,0.85,0.69
e_0,6.17,6.63,3.99,4.18,3.92,3.74,1.17,0.94,0.9,0.88,0.85,0.44,0.8,0.64,0.63,0.32
