,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.28,0.72,0.81,0.49,0.43,0.34,0.95,2.23,0.88,0.96,1.23,1.12,1.37,0.93,0.54,1.26
f_1,1.05,2.34,0.58,0.5,0.45,0.45,0.9,1.15,0.86,1.13,1.02,0.57,1.35,0.76,0.63,0.98
c_1,0.54,0.56,2.36,0.56,1.0,0.34,0.88,1.28,0.82,0.45,0.88,1.11,1.44,0.94,0.86,1.1
d_1,0.52,0.59,0.44,2.42,0.58,0.43,1.18,0.62,1.05,2.2,1.26,1.15,1.5,1.07,0.99,1.35
b_1,0.58,0.54,0.57,0.57,2.56,0.92,0.79,1.16,0.79,1.02,0.47,1.02,1.47,0.82,1.03,1.07
a_1,0.68,0.61,0.54,0.57,0.5,3.01,0.93,0.97,0.95,1.29,1.26,1.11,1.8,0.54,0.97,1.49
h_1,0.67,1.04,0.6,0.81,0.52,0.46,3.29,1.36,1.63,1.41,1.28,1.42,1.03,1.22,0.98,2.03
d_0,0.71,0.76,1.31,0.38,0.65,0.5,1.31,2.64,0.93,1.01,1.45,1.25,1.62,1.25,1.2,1.38
g_1,0.61,0.67,0.67,1.08,0.54,0.52,1.25,1.25,3.47,1.53,1.54,2.28,1.81,0.89,1.35,1.14
c_0,0.68,0.83,0.49,0.84,0.51,0.55,1.4,1.5,1.29,2.73,2.87,1.26,2.03,1.34,1.52,1.58
b_0,0.79,0.71,0.83,0.84,0.27,0.46,1.34,1.78,1.17,1.35,2.95,1.43,1.88,2.58,1.64,1.83
f_0,0.55,0.5,0.81,0.79,0.74,0.58,1.33,1.63,1.2,1.4,1.73,2.88,1.92,1.1,2.76,2.07
h_0,0.75,1.09,0.67,0.79,0.56,0.48,0.87,1.36,1.54,1.37,1.38,1.48,1.24,1.21,1.08,2.08
a_0,0.71,0.86,0.75,0.84,0.55,0.42,1.25,2.06,0.95,1.88,1.48,1.44,1.89,3.06,1.16,1.43
e_0,0.36,0.9,0.78,0.78,0.64,0.78,1.48,1.29,1.09,1.25,1.33,1.4,1.82,1.11,3.16,2.08
g_0,0.65,0.6,0.6,1.29,0.66,0.49,1.11,1.08,0.7,1.3,1.54,2.1,1.72,1.27,1.41,1.23
