,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.15,0.93,1.1,1.03,1.02,1.06,1.34,0.95,1.13,0.99,0.97,1.05,1.15,1.14
f_1,1.23,1.0,1.02,0.91,0.99,0.86,0.87,1.07,1.01,0.88,0.94,0.91,0.93,0.9,0.78,1.02
c_1,0.89,0.99,1.0,1.11,1.22,0.96,1.02,0.99,0.74,0.95,0.98,0.91,0.98,0.96,1.01,0.95
d_1,1.06,1.11,0.92,1.0,0.94,0.91,0.98,0.85,0.99,1.25,1.01,1.04,1.12,1.03,0.98,0.82
b_1,0.93,1.01,0.82,1.07,1.0,1.37,1.04,1.0,1.02,1.12,1.0,1.05,0.91,1.07,1.03,1.08
a_1,0.97,1.14,1.02,1.03,0.75,1.0,1.13,1.02,1.0,1.01,0.98,1.27,1.03,1.15,1.12,1.06
h_1,0.97,1.15,0.99,1.01,0.95,0.85,1.0,1.16,0.93,0.89,0.93,0.96,0.87,1.01,0.9,1.09
g_1,0.95,0.97,0.99,1.19,0.97,0.98,0.86,1.0,0.87,0.9,1.17,0.98,1.01,0.93,0.98,0.97
d_0,0.76,0.98,1.32,1.02,0.98,0.97,1.09,1.14,1.0,0.9,0.95,1.02,1.1,0.97,1.11,1.08
c_0,1.03,1.13,1.03,0.83,0.89,0.92,1.15,1.04,1.08,1.0,0.98,1.29,1.1,1.03,0.94,1.1
f_0,0.89,1.1,1.03,1.03,0.96,0.94,1.03,0.82,1.04,0.96,1.0,1.06,1.04,1.07,1.49,0.83
b_0,1.06,1.1,1.06,0.97,0.95,0.81,1.03,1.06,0.95,0.78,0.94,1.0,1.37,0.98,0.87,1.06
a_0,0.99,1.05,1.06,0.9,1.06,0.9,1.09,1.02,0.95,0.9,0.97,0.76,1.0,1.0,1.11,0.94
h_0,0.94,1.07,1.05,0.96,0.95,0.88,1.01,1.1,1.06,0.98,0.9,1.0,1.01,1.0,0.91,1.12
e_0,0.9,1.25,0.99,0.94,0.92,0.9,1.13,0.98,0.95,1.03,0.7,1.05,0.92,1.07,1.01,0.95
g_0,0.88,0.98,1.08,1.16,0.95,0.91,0.92,1.02,0.98,0.98,1.22,0.97,1.0,0.87,1.13,1.0
