,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.88,0.09,0.06,0.09,0.07,0.03,0.08,0.06,0.16,0.07,0.08,0.08,0.09,0.01,0.07,0.05
f_1,0.17,0.88,0.08,0.08,0.05,0.05,0.07,0.06,0.07,0.08,0.02,0.06,0.08,0.04,0.05,0.04
d_1,0.08,0.1,0.88,0.07,0.06,0.06,0.07,0.06,0.02,0.16,0.06,0.08,0.08,0.05,0.07,0.03
c_1,0.08,0.11,0.08,0.87,0.12,0.05,0.08,0.05,0.08,0.01,0.06,0.06,0.09,0.04,0.07,0.04
b_1,0.09,0.09,0.07,0.07,0.87,0.09,0.08,0.06,0.07,0.08,0.08,0.01,0.08,0.06,0.06,0.04
a_1,0.1,0.09,0.1,0.07,0.07,0.87,0.09,0.06,0.06,0.08,0.07,0.05,0.07,0.04,0.06,0.01
h_1,0.14,0.22,0.13,0.13,0.11,0.08,0.53,0.16,0.14,0.12,0.12,0.11,0.04,0.09,0.12,0.08
g_1,0.17,0.15,0.24,0.1,0.08,0.1,0.11,0.52,0.1,0.13,0.18,0.12,0.09,0.07,0.05,0.08
d_0,0.15,0.16,0.05,0.3,0.12,0.09,0.12,0.09,0.36,0.11,0.14,0.1,0.11,0.09,0.11,0.09
c_0,0.19,0.16,0.2,0.06,0.09,0.11,0.12,0.12,0.13,0.38,0.15,0.22,0.14,0.11,0.12,0.09
f_0,0.16,0.07,0.13,0.18,0.12,0.09,0.16,0.1,0.17,0.12,0.38,0.14,0.11,0.2,0.14,0.09
b_0,0.16,0.16,0.18,0.16,0.04,0.08,0.14,0.12,0.14,0.14,0.14,0.4,0.13,0.11,0.13,0.19
h_0,0.13,0.2,0.17,0.17,0.1,0.11,0.05,0.13,0.15,0.12,0.11,0.11,0.05,0.07,0.15,0.07
e_0,0.04,0.19,0.19,0.19,0.12,0.09,0.15,0.13,0.13,0.15,0.15,0.1,0.15,0.37,0.1,0.07
g_0,0.12,0.12,0.26,0.14,0.11,0.07,0.12,0.06,0.14,0.13,0.2,0.11,0.13,0.12,0.06,0.06
a_0,0.15,0.19,0.23,0.16,0.1,0.03,0.14,0.11,0.14,0.12,0.14,0.13,0.13,0.07,0.12,0.35
