,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.65,1.03,0.84,0.97,0.91,0.79,0.36,0.34,0.39,0.47,0.37,0.35,0.29,0.23,0.28,0.27
e_1,0.67,0.64,0.97,1.12,1.0,0.92,0.42,0.37,0.43,0.48,0.36,0.44,0.34,0.28,0.42,0.3
d_1,1.14,1.06,0.63,0.94,0.92,0.85,0.47,0.38,0.43,0.32,0.36,0.36,0.32,0.28,0.35,0.21
c_1,1.04,0.82,1.16,0.63,1.1,0.89,0.43,0.44,0.25,0.42,0.33,0.36,0.34,0.29,0.33,0.28
b_1,1.08,1.01,1.14,0.7,0.62,1.15,0.53,0.46,0.35,0.48,0.49,0.37,0.39,0.34,0.35,0.32
a_1,1.24,1.32,1.25,1.14,0.72,0.58,0.62,0.46,0.48,0.53,0.52,0.44,0.49,0.34,0.4,0.35
h_1,1.66,1.57,1.49,1.57,1.52,1.33,0.53,0.57,0.65,0.67,0.57,0.56,0.5,0.56,0.5,0.44
c_0,1.75,1.83,1.18,1.94,1.65,1.45,0.77,0.54,0.82,0.71,0.69,0.61,0.6,0.5,0.59,0.44
d_0,1.52,1.22,2.05,2.1,1.81,1.58,0.75,0.66,0.55,0.86,0.6,0.67,0.6,0.52,0.61,0.55
g_1,1.72,1.57,1.89,1.86,1.63,1.45,0.64,0.64,0.67,0.51,0.57,0.67,0.58,0.43,0.54,0.57
b_0,1.68,1.8,1.46,2.36,1.81,1.47,0.72,0.47,0.78,0.77,0.53,0.64,0.63,0.49,0.55,0.49
f_0,2.33,1.71,1.69,1.85,1.76,1.58,0.81,0.73,0.73,0.56,0.64,0.51,0.66,0.52,0.71,0.41
a_0,2.12,2.03,1.83,2.0,2.3,1.76,0.84,0.65,0.79,0.84,0.53,0.79,0.52,0.62,0.73,0.59
h_0,2.24,2.0,2.03,2.08,1.93,1.79,0.93,0.77,0.83,0.98,0.76,0.73,0.66,0.68,0.61,0.59
e_0,2.87,2.37,1.9,2.02,1.88,1.83,0.96,0.8,0.9,0.83,0.86,0.46,0.75,0.57,0.51,0.49
g_0,2.43,2.11,2.2,2.45,1.9,1.97,0.88,0.78,0.87,0.95,0.77,0.78,0.66,0.55,0.73,0.67
