,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.5,0.25,0.15,0.16,0.14,0.15,0.16,0.21,0.22,0.23,0.19,,0.16,0.21,,0.21
e_1,0.15,1.51,0.13,0.18,0.22,0.13,0.2,0.14,0.2,0.32,0.15,0.18,0.19,0.21,,0.19
d_1,0.2,0.19,1.52,0.16,0.16,0.14,0.19,0.15,0.3,,0.18,0.22,0.17,0.21,0.15,0.18
c_1,0.16,0.17,0.18,1.53,0.27,0.16,0.2,0.13,,0.21,0.15,0.17,0.15,0.25,0.14,0.22
b_1,0.21,0.15,0.18,0.15,1.56,0.2,0.18,0.15,0.18,0.18,,0.19,0.2,0.27,0.24,0.2
a_1,0.2,0.18,0.2,0.15,0.16,1.73,0.21,0.21,0.17,0.26,0.15,0.19,,0.25,,0.24
h_1,0.56,0.37,0.42,0.36,0.39,0.22,1.66,0.61,0.6,0.35,0.43,0.39,0.31,,0.3,0.57
g_1,0.35,0.37,0.63,0.5,0.36,0.26,0.35,1.73,0.35,0.4,0.44,0.74,0.41,0.44,0.44,
c_0,0.4,0.47,0.44,,0.44,0.46,0.51,0.6,1.45,0.58,0.91,0.54,0.5,0.53,0.35,0.42
d_0,0.44,0.43,,0.72,0.49,0.38,0.85,0.43,0.41,1.44,0.58,0.44,0.42,0.53,0.33,0.56
b_0,0.55,0.6,0.49,0.45,,0.36,0.51,0.53,0.49,0.5,1.49,0.57,0.69,0.6,0.41,0.52
f_0,,0.5,0.51,0.54,0.35,0.44,0.5,0.44,0.69,0.64,0.53,1.51,0.5,0.66,0.94,0.41
a_0,0.48,0.4,0.54,0.51,0.41,,0.62,0.42,0.58,0.64,0.58,0.47,1.61,0.84,,0.61
h_0,0.75,0.57,0.56,0.52,0.48,0.44,,1.02,0.79,0.76,0.76,0.45,0.52,,0.67,0.88
e_0,,,0.51,0.55,0.34,,0.71,0.57,0.71,0.78,0.59,0.42,,0.61,1.69,0.62
g_0,0.56,0.67,0.81,0.63,0.58,0.52,0.68,,0.85,0.53,0.85,0.9,0.55,0.58,0.6,
