,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.33,0.99,0.97,1.05,0.87,0.78,0.88,0.93,0.76,0.98,1.12,0.9,0.92,0.91,1.02
e_1,0.75,1.0,1.2,0.9,1.07,0.92,1.0,1.38,1.15,1.24,0.99,1.05,1.05,0.87,1.37,1.15
c_1,1.01,0.83,1.0,1.12,1.34,1.11,1.03,0.73,0.97,0.61,0.84,0.92,1.1,1.06,1.01,0.95
d_1,1.03,1.11,0.89,1.0,0.98,0.84,1.03,1.24,0.78,1.45,1.15,0.91,0.94,0.97,1.02,0.82
b_1,0.95,0.94,0.74,1.02,1.0,1.57,1.33,0.97,1.01,1.08,1.1,1.24,0.97,1.03,1.02,0.84
a_1,1.14,1.08,0.9,1.18,0.64,1.0,1.09,1.04,1.3,0.95,1.25,1.06,1.15,1.15,0.88,0.97
h_1,1.28,0.98,0.99,0.99,0.76,0.92,1.0,0.88,1.29,0.87,0.91,0.94,0.96,0.93,1.02,1.22
d_0,1.15,0.71,1.46,0.82,1.0,0.91,1.16,1.0,0.91,0.83,1.07,0.79,0.96,1.06,0.81,1.23
g_1,1.05,0.86,1.02,1.27,0.98,0.76,0.77,1.1,1.0,0.91,0.93,1.21,0.73,0.79,0.98,1.18
c_0,1.35,0.84,1.6,0.69,0.93,0.96,1.11,1.24,1.08,1.0,1.29,1.05,1.19,1.2,0.89,1.1
b_0,1.06,0.98,1.2,0.85,0.87,0.82,1.12,0.96,1.03,0.85,1.0,1.1,1.18,1.54,0.92,1.22
f_0,0.98,0.93,1.17,1.11,0.84,0.93,0.98,1.12,0.8,0.93,0.88,1.0,1.05,1.06,1.51,0.91
h_0,1.14,0.97,0.98,1.04,1.01,0.86,1.02,0.98,1.39,0.87,0.86,0.94,1.0,0.95,0.99,1.12
a_0,1.09,1.16,0.96,1.1,0.95,,1.1,0.92,1.34,0.86,0.64,0.9,1.04,1.0,1.14,0.99
e_0,1.09,0.85,0.97,0.96,1.02,1.0,1.06,1.17,1.04,1.01,1.05,0.67,1.01,0.99,1.0,1.16
g_0,1.0,0.81,1.07,1.19,1.02,0.98,0.82,0.78,0.82,0.89,0.85,1.08,0.93,0.95,0.91,1.0
