,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.12,2.34,5.31,4.69,4.83,4.35,1.25,1.12,1.48,0.99,0.79,1.15,0.63,0.8,1.99,0.6
f_1,3.78,1.12,4.89,3.63,4.67,4.2,0.77,0.89,1.25,0.79,0.85,1.47,0.42,0.82,0.79,0.92
c_1,4.14,5.28,1.12,6.81,4.21,4.63,1.54,0.55,1.58,2.13,1.14,0.99,0.73,0.87,0.91,0.86
d_1,5.67,6.23,5.63,1.11,4.69,4.04,1.5,2.67,0.87,0.92,0.96,1.0,0.79,1.04,1.01,0.43
b_1,6.48,6.02,2.89,6.11,1.13,6.34,1.79,1.1,1.59,2.01,2.97,1.18,0.93,1.57,1.01,0.73
a_1,7.98,9.68,6.53,8.21,3.85,1.14,2.72,1.94,2.9,1.81,1.74,1.45,1.27,3.01,1.61,1.26
h_1,14.23,17.01,16.1,14.06,19.01,14.81,1.77,3.29,4.32,3.05,2.56,3.54,4.23,3.15,2.92,2.31
d_0,10.08,18.73,17.16,34.6,19.96,19.57,5.74,2.19,4.91,5.15,4.27,3.64,3.31,3.8,4.27,3.1
g_1,17.84,19.62,15.62,17.3,20.54,16.33,4.81,4.85,1.8,4.04,3.62,3.98,2.17,4.07,3.65,3.59
c_0,19.72,22.61,36.51,9.5,24.68,17.14,5.12,5.74,4.55,2.07,3.97,3.92,3.29,3.62,3.85,2.8
b_0,22.46,24.89,31.09,18.01,43.29,17.28,6.48,5.07,5.41,2.31,2.24,3.66,2.63,4.44,3.43,3.51
f_0,20.83,48.16,23.61,20.8,22.69,22.54,5.91,4.26,4.18,4.31,3.86,2.16,3.31,3.87,3.93,1.84
h_0,28.68,28.09,30.78,24.05,24.47,26.59,12.56,6.09,8.32,5.49,6.34,5.88,6.34,4.44,4.93,3.51
a_0,37.28,30.64,37.83,24.44,46.9,41.48,7.12,7.08,9.22,5.73,3.28,5.32,4.4,2.52,5.65,5.27
e_0,50.38,47.54,38.29,32.76,42.64,39.88,9.8,6.43,7.58,6.46,6.71,3.31,5.16,5.21,2.5,4.27
g_0,38.04,34.98,39.75,38.49,41.38,39.13,9.69,8.67,17.49,8.04,6.88,9.07,4.4,8.15,7.78,7.9
