,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.82,1.1,1.76,1.76,3.2,18.1,33.62,27.7,40.36,37.89,64.52,83.12,87.93,117.55,135.51
f_1,1.22,1.0,1.07,1.42,1.54,2.5,15.67,26.66,25.55,29.3,31.31,39.07,66.52,78.78,90.86,109.43
d_1,0.9,0.94,1.0,1.07,1.43,2.74,16.22,19.22,33.62,28.26,30.7,41.88,68.05,68.87,94.76,78.6
c_1,0.56,0.7,0.94,1.0,1.64,2.19,11.52,17.13,17.48,15.36,18.61,35.93,54.56,56.41,69.68,74.6
b_1,0.56,0.65,0.69,0.62,1.0,3.0,12.05,16.32,20.58,17.47,20.47,31.97,56.86,39.16,61.49,70.12
a_1,0.31,0.39,0.36,0.46,0.34,1.0,6.31,8.53,9.73,11.53,11.87,16.41,28.48,32.84,33.54,41.36
h_1,0.05,0.06,0.06,0.09,0.08,0.15,1.0,1.8,1.5,1.57,1.9,2.81,4.39,4.66,4.99,8.05
g_1,0.03,0.04,0.05,0.06,0.06,0.11,0.55,1.0,1.14,1.05,1.16,2.33,2.89,2.84,4.02,4.25
c_0,0.03,0.04,0.03,0.06,0.05,0.1,0.67,0.84,1.0,1.24,1.56,1.79,2.76,3.02,3.5,3.84
d_0,0.03,0.03,0.04,0.07,0.06,0.09,0.61,0.99,0.82,1.0,1.18,1.77,2.81,2.45,3.4,4.43
b_0,0.03,0.03,0.03,0.05,0.05,0.08,0.54,0.89,0.66,0.84,1.0,1.56,2.43,3.44,3.14,3.31
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.34,0.45,0.54,0.57,0.64,1.0,1.73,1.51,2.68,1.67
h_0,0.01,0.02,0.01,0.02,0.02,0.03,0.22,0.36,0.36,0.36,0.42,0.58,1.0,0.91,1.25,1.78
a_0,0.01,0.01,0.01,0.02,0.03,0.03,0.22,0.36,0.33,0.38,0.3,0.66,1.09,1.0,1.4,1.31
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,0.24,0.29,0.29,0.34,0.38,0.77,0.66,1.0,1.19
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.23,0.26,0.22,0.32,0.61,0.58,0.73,0.92,1.0
