,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,6.13,4.36,2.54,2.95,2.69,2.33,9.8,9.25,13.87,11.04,13.34,9.25,14.06,18.51,18.96,10.72
e_1,3.03,6.12,2.53,3.45,2.57,2.71,12.46,10.59,20.91,13.58,15.73,14.94,16.14,20.69,21.1,12.67
d_1,2.98,2.72,6.45,2.34,2.69,3.0,11.1,11.25,9.01,22.76,18.55,16.49,14.85,20.25,22.0,17.13
c_1,2.78,2.67,2.68,6.8,5.01,3.22,8.81,8.79,12.31,8.2,8.81,12.45,12.7,19.53,18.5,13.68
b_1,2.67,2.53,3.16,2.74,7.9,5.76,9.53,9.88,12.36,11.31,9.45,13.91,9.72,19.36,19.72,13.42
a_1,2.93,2.59,3.14,2.8,3.15,10.34,11.1,11.61,12.83,12.27,12.32,15.14,9.53,25.33,22.06,14.7
h_1,3.87,2.92,3.1,3.2,2.68,2.68,18.72,13.78,15.0,13.97,15.43,14.99,13.94,17.74,28.48,18.45
g_1,2.65,2.89,4.44,3.02,2.64,3.15,9.53,21.96,11.21,14.37,14.94,20.07,13.02,21.36,21.37,16.35
d_0,3.04,2.71,2.32,5.26,3.38,2.77,10.88,11.26,20.04,9.52,13.21,14.59,15.75,21.66,22.51,16.03
c_0,3.38,3.32,3.02,2.84,2.38,2.69,11.98,13.17,15.38,20.99,29.39,17.39,19.41,23.2,22.72,18.69
b_0,3.61,2.96,3.28,3.24,2.48,2.26,11.05,13.68,14.26,13.73,23.04,13.64,29.18,26.45,24.64,15.51
f_0,2.68,2.84,3.22,3.54,3.27,3.1,12.41,12.1,15.72,14.04,15.31,25.8,15.15,22.64,24.41,33.56
a_0,3.63,3.11,3.34,3.26,2.67,2.23,12.91,13.35,14.62,13.53,17.22,16.08,28.84,21.58,24.99,14.79
h_0,4.08,3.21,3.31,3.07,2.87,2.29,8.03,15.11,12.15,12.53,13.74,15.33,13.3,17.31,30.73,15.5
g_0,3.05,2.78,4.06,3.1,2.97,3.17,11.96,9.61,12.95,13.18,13.24,21.25,15.1,22.65,19.3,18.69
e_0,3.43,2.85,3.24,3.55,2.84,3.0,10.57,13.42,11.97,14.59,16.17,13.15,16.01,24.13,24.99,33.87
