,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.33,1.1,1.28,0.84,1.07,0.8,2.02,1.84,3.63,1.71,2.12,1.88,1.7,2.69,1.32,2.57
f_1,1.71,2.37,1.07,0.9,0.97,0.68,1.85,1.81,2.36,1.75,1.51,1.69,1.69,2.7,1.17,2.3
c_1,1.05,1.06,2.47,0.95,1.65,0.86,1.86,1.69,2.13,1.43,1.94,1.5,1.58,2.47,1.79,2.18
d_1,1.1,1.19,0.83,2.54,0.91,0.76,2.0,2.02,1.52,3.73,2.12,2.42,2.26,2.86,2.16,2.45
b_1,1.0,1.06,1.16,1.02,2.55,1.61,1.8,1.51,2.32,1.98,1.98,1.41,1.4,2.54,1.81,2.49
a_1,1.01,1.15,1.17,1.03,1.06,3.22,2.39,1.71,1.99,1.84,2.08,2.11,1.52,2.58,2.06,2.33
h_1,1.18,1.51,1.14,1.18,0.97,0.82,3.46,2.35,2.15,1.88,2.01,2.01,1.71,2.16,1.76,3.05
g_1,1.12,1.09,1.05,1.69,0.91,0.86,1.88,3.7,1.77,2.36,3.08,2.39,2.09,2.88,2.06,2.26
d_0,1.06,1.21,1.97,0.79,1.1,0.83,2.02,1.79,3.24,1.62,2.06,1.76,2.01,2.6,1.81,2.4
c_0,1.18,1.34,0.88,1.28,0.86,0.74,2.37,2.26,2.07,3.62,2.21,4.08,2.7,2.88,1.94,2.86
f_0,1.02,1.14,1.18,1.14,1.08,0.91,2.21,1.94,2.58,2.23,3.63,2.4,2.48,2.91,3.89,2.51
b_0,1.26,1.31,1.1,1.31,0.81,0.63,2.35,2.41,2.09,2.66,2.27,3.89,4.07,2.79,1.74,2.91
a_0,1.17,1.32,1.14,1.07,1.02,0.67,2.32,2.1,2.17,2.46,2.52,2.28,3.87,2.96,2.61,2.39
h_0,1.15,1.48,1.21,1.14,0.99,0.7,1.69,2.43,2.34,2.31,1.81,2.04,2.21,2.27,1.81,3.22
e_0,0.8,1.35,1.18,1.2,1.1,0.88,2.49,2.0,2.0,2.56,2.15,2.28,2.17,3.18,3.68,2.71
g_0,1.03,1.18,1.21,1.59,1.08,0.83,2.11,1.71,2.15,2.13,3.11,1.99,1.9,2.72,2.22,2.1
