,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,10528.47,8860.67,6492.27,8192.28,12836.69,64127.74,7317840.65,23000738.25,19927606.9,27805478.83,37885782.59,36761246.83,259003140.82,267135529.98,494966557.97,292993811.87
e_1,5033.49,12187.17,6109.12,10424.89,14583.78,74035.11,7414123.8,38405845.82,19475424.56,28891279.23,41989874.71,59074172.5,256801579.4,259361030.31,579316259.51,317385436.55
d_1,5546.18,5726.06,16333.73,7452.17,12219.84,69508.26,7515599.15,17378838.34,22337756.52,51202124.13,48280895.08,54885963.43,255558734.99,280728110.12,517576898.14,492385814.78
c_1,4712.44,4912.23,7042.18,20560.17,23051.79,79154.19,6926777.53,19629393.28,19826758.22,19646044.46,27708538.64,57949204.76,243729817.6,270559348.19,503197872.24,460474222.38
b_1,5202.31,4988.76,6531.95,8756.09,35631.67,158388.64,8429164.31,23128980.38,18890444.42,26898155.98,32180298.9,57094921.23,228125559.94,190188745.16,505511740.42,456908514.09
a_1,5117.58,5642.79,7578.32,9326.87,11661.71,303524.13,9676370.92,22085994.29,21985526.34,27045547.52,40114407.08,47423863.85,283734816.09,244925561.06,476793586.26,430642061.11
h_1,6334.98,6145.14,8870.35,9525.15,14016.31,66156.59,13567594.46,17468713.25,26912335.91,28512558.46,43802223.12,53059206.89,205981419.02,247860317.8,646338653.62,452737432.88
d_0,5325.96,5115.65,4727.47,16107.04,17566.5,86686.65,8740529.99,34176727.7,17508594.65,20512608.91,39026701.18,55571298.01,226045011.21,241468747.26,594632348.84,523563635.56
g_1,5199.45,5497.78,11239.72,7584.55,12835.07,77392.42,7803994.18,19989098.64,45652473.43,35764961.98,48298282.78,88049325.35,303745228.37,326296796.94,458437291.73,491788161.38
c_0,5937.1,6480.56,8200.84,8386.42,10919.47,83122.55,8002160.12,22798445.72,22144636.18,47383023.76,82418682.54,61546996.46,299204054.62,411158121.49,545029022.7,531122809.45
b_0,5832.84,6102.61,9285.45,9385.24,11781.02,58073.01,8769424.86,21944067.48,21142091.82,33683556.54,69188543.49,55221725.48,285978698.01,546326722.42,600018292.15,504398692.16
f_0,4548.48,4420.19,8843.73,10143.72,16491.99,83973.9,8959023.57,24324558.75,23291734.68,33665634.98,52175736.47,95963998.91,332008122.11,359238260.06,559719112.01,980361902.14
h_0,6835.18,6009.71,8870.77,8648.78,13572.72,76829.63,6559679.16,20205343.12,28682424.08,29542742.83,43473741.67,50507583.07,202677182.54,305453643.71,643945360.76,444282705.28
a_0,5485.7,5949.33,9018.15,10706.98,14574.16,64145.07,9113493.22,23024009.49,24479113.88,29833194.39,48370802.72,61204982.34,280922683.73,502760186.54,620077115.73,436491701.21
g_0,4803.41,4928.7,10519.84,10623.72,15790.79,78012.08,8679761.97,19545127.69,18023789.2,32304915.39,48424925.27,79425878.88,249122070.2,308240203.23,472172325.21,513529484.89
e_0,5698.68,3881.14,8019.91,10087.87,17400.39,90965.31,8577967.54,24048338.73,22353894.65,31268419.13,47038469.84,63062172.12,345503021.22,294071563.49,623564976.23,908032704.37
