,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.48,1.35,1.23,1.76,3.26,20.24,28.18,40.43,38.94,39.71,46.52,62.14,93.09,106.1,164.32
e_1,0.68,1.0,1.59,1.39,1.62,3.83,24.19,34.68,29.57,36.86,51.99,60.81,87.67,143.22,130.72,157.74
c_1,0.74,0.63,1.0,1.17,1.73,2.66,18.93,13.55,23.77,25.0,28.88,35.56,59.19,93.14,77.07,103.92
d_1,0.82,0.72,0.85,1.0,1.18,2.09,13.89,16.03,31.25,19.87,33.62,36.1,64.8,69.39,84.98,79.18
b_1,0.57,0.62,0.58,0.85,1.0,2.79,12.92,15.5,20.12,21.31,23.75,31.79,47.1,67.21,61.91,77.98
a_1,0.31,0.26,0.38,0.48,0.36,1.0,7.92,9.29,11.35,14.03,18.56,17.37,21.86,35.86,,44.65
h_1,0.05,0.04,0.05,0.07,0.08,0.13,1.0,1.21,1.29,2.14,1.97,2.25,4.31,5.6,5.49,8.41
d_0,0.03,0.03,0.07,0.06,0.07,0.1,0.81,1.0,1.42,1.49,1.93,2.14,3.02,4.69,4.14,5.84
c_0,0.03,0.03,0.05,0.03,0.05,0.09,0.77,0.69,1.0,1.08,1.91,1.74,2.12,3.13,3.48,4.31
g_1,0.03,0.03,0.04,0.05,0.05,0.07,0.47,0.69,0.93,1.0,1.27,1.92,1.8,3.71,3.33,2.46
b_0,0.03,0.02,0.04,0.03,0.04,0.05,0.48,0.53,0.56,0.83,1.0,1.08,1.65,3.12,3.74,2.98
f_0,0.02,0.02,0.03,0.03,0.03,0.05,0.45,0.47,0.58,0.52,0.89,1.0,1.44,3.29,2.3,2.09
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.24,0.35,0.48,0.54,0.62,0.71,1.0,1.46,1.6,2.46
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.21,0.33,0.27,0.32,0.33,0.66,1.0,1.19,1.43
a_0,0.01,0.01,0.01,0.01,0.02,,0.18,0.25,0.3,0.3,0.26,0.42,0.63,1.04,1.0,1.36
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.18,0.23,,0.32,0.45,0.41,0.73,0.75,
