,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.42,2.29,4.03,4.38,3.61,2.71,2.05,1.56,1.55,1.96,1.47,1.65,1.41,,1.67,1.75
f_1,4.25,0.42,3.55,2.99,3.38,3.22,1.43,2.72,1.76,1.49,,1.89,1.12,1.41,1.47,1.36
d_1,4.48,3.46,0.4,3.8,4.35,3.3,1.86,1.22,1.76,,1.86,1.92,1.43,1.48,0.92,1.11
c_1,3.51,3.68,3.68,0.39,5.32,3.62,2.11,1.94,,1.04,1.44,1.47,1.34,1.39,1.38,1.55
b_1,3.87,3.84,3.42,2.2,0.36,3.92,1.67,2.11,1.84,1.53,1.6,,1.4,2.08,1.2,
a_1,6.04,4.4,3.75,4.3,2.4,0.32,2.13,1.67,1.48,1.4,1.63,1.58,1.07,,1.54,
h_1,1.66,1.89,1.86,1.64,1.67,1.67,0.26,1.17,0.97,0.74,0.79,0.77,,0.73,0.66,1.02
g_1,1.91,1.78,2.25,2.39,2.25,1.98,0.64,0.24,0.78,0.9,1.05,0.68,0.57,0.75,,0.85
c_0,1.84,1.46,1.01,,1.56,1.55,0.77,0.83,0.29,0.86,0.78,0.92,0.58,0.77,0.53,0.77
d_0,1.02,1.6,,1.66,1.58,1.84,0.99,0.86,0.72,0.29,0.64,0.66,0.62,0.68,0.6,0.76
f_0,1.65,,1.72,1.7,1.54,1.73,0.88,0.67,0.63,0.67,0.26,0.82,0.62,0.62,0.52,0.74
b_0,1.51,1.58,1.37,1.75,,2.06,0.88,0.9,0.44,0.78,0.72,0.26,0.6,0.98,0.87,0.76
h_0,1.05,1.19,1.18,1.05,1.25,1.49,,0.81,0.62,0.58,0.73,0.67,,0.54,0.5,0.63
e_0,,2.11,1.7,1.78,1.38,,0.95,0.84,0.73,0.79,0.51,0.59,0.59,0.22,0.45,
g_0,1.24,1.61,1.31,1.33,1.35,1.35,0.74,,0.58,0.56,0.55,0.53,0.4,0.69,,0.49
a_0,1.66,2.31,2.62,1.75,,,0.72,0.79,0.69,0.65,0.66,0.47,0.63,,0.73,0.21
