,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.13,1.01,1.51,2.9,18.73,29.29,34.85,22.06,38.89,40.12,63.54,82.61,92.04,87.24
f_1,0.86,1.0,1.45,1.3,1.45,2.4,15.6,26.91,26.52,28.9,35.29,41.52,56.72,71.71,69.16,110.42
e_1,0.88,0.69,1.0,1.26,1.58,2.63,16.24,34.27,23.98,29.81,32.76,42.93,65.78,76.44,76.08,130.31
c_1,1.01,0.76,0.79,1.0,1.75,1.94,14.51,15.05,19.0,22.84,23.78,32.52,52.03,66.64,80.28,101.47
b_1,0.66,0.68,0.64,0.57,1.0,3.03,11.75,16.79,16.09,16.58,26.01,25.41,38.42,44.05,54.73,65.22
a_1,0.35,0.42,0.38,0.51,0.33,1.0,6.29,7.83,8.79,10.4,13.81,17.84,22.58,30.7,32.93,42.5
h_1,0.05,0.06,0.06,0.07,0.09,0.15,1.0,1.35,1.37,1.77,1.8,2.36,3.53,4.01,5.07,7.72
d_0,0.04,0.04,0.03,0.07,0.06,0.12,0.77,1.0,0.93,1.2,1.52,1.86,2.72,3.18,3.57,5.71
c_0,0.03,0.04,0.04,0.05,0.06,0.11,0.74,1.09,1.0,1.14,1.69,1.58,2.4,3.3,3.13,4.61
g_1,0.04,0.03,0.03,0.05,0.06,0.1,0.59,0.83,0.92,1.0,1.27,1.92,1.93,2.44,3.29,4.17
b_0,0.03,0.03,0.03,0.04,0.04,0.07,0.55,0.65,0.59,0.77,1.0,1.14,1.87,3.1,2.91,3.27
f_0,0.02,0.02,0.02,0.03,0.04,0.06,0.41,0.58,0.62,0.56,0.85,1.0,1.58,1.95,3.17,2.11
h_0,0.02,0.02,0.02,0.02,0.03,0.04,0.28,0.38,0.4,0.52,0.54,0.66,1.0,1.24,1.3,2.21
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.25,0.3,0.3,0.43,0.34,0.51,0.83,1.0,1.13,1.46
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.3,0.32,0.29,0.39,0.33,0.77,0.87,1.0,1.33
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.18,0.23,0.23,0.3,0.47,0.45,0.71,0.75,1.0
